,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.KH.ST,57.9434922068,42.0350084253,12.757863475,12.4842522638,28.0879858507,13.949236238,11.8546647575,160.196350693,101.396709469,255.480743452,253.675097952,64.1495628128,55.8946849779,25.1835005195,58.3885126373,101.125405777,22.4052422234,646.935563883,63.7537615074,212.2072265,26.971978557,125.18340598,175.574448175,36.6230382295,66.5115593653,66.9352858792,162.575745575,133.25513616,310.996433408,130.053223949,37.400600088,42.6532017919,754.997202177,207.514249098,13.2116473533,26.6235418732,37.0768462897,39.7594616429,11.1738263212,62.7384246424,23.0356796637,17.3300886865,13.2318880194,0.0,166.859367177,41.7139673644,107.085777576,69.954845256,57.6030936225,103.05186292,94.3754448229,155.607288459,128.217810112,118.620298775,100.361913979,56.2849884409,79.2433119753,40.1831275004,133.694582421,55.1201336147,115.53685754,97.7297528174,135.084515454,172.705411623
BD.RS.BO,239.24148832,179.350024597,84.2635764823,67.3619606432,149.558708022,104.546607739,35.7081161773,270.132261313,261.60116557,754.037276336,574.936070438,209.657722256,149.982062573,60.1223290443,185.398797085,326.452924799,56.8261949456,1084.96606584,159.811832619,274.013621165,108.649069536,47.8149564076,227.93049297,115.443553611,101.937343322,147.384235552,297.142717525,205.304887217,259.629796392,132.568966156,67.0969247552,120.822671678,410.007725331,161.257016224,133.591682701,62.7386425935,206.542150884,111.21303652,199.272932192,87.4388553176,66.0447145222,31.8868524865,60.1544247469,161.100239334,0.0,13.1724171775,54.2851250958,40.9101866997,53.6309559837,105.775265245,74.6020102812,80.0916083881,85.3811243708,44.1823241033,65.9070482443,42.7067806452,61.753974674,37.4027362207,76.2885067615,50.2683951514,172.493235894,155.393233774,166.909871126,253.081166228
BD.RS.JP,80.2253905881,58.4425843649,27.2153629431,22.2507443741,48.4701816532,34.1137439935,11.2524537641,93.93932685,89.6691261111,242.561361593,196.353202433,65.9218728978,49.5325690547,19.5876226597,61.9819712526,107.434426883,18.2420227487,403.550308721,57.3423399473,103.607735901,37.2470538356,21.523242101,80.8858607559,40.0630744337,39.0764288451,52.4315868517,106.824551409,73.7614943355,99.882752047,46.3444838236,24.9753742196,41.8565809003,155.699113072,70.5273431334,43.4378882258,20.7338928976,68.4330449298,37.7475114386,64.4718189773,30.8932177715,23.1379473361,10.3116340332,20.4888069108,51.3486312878,16.7945069322,0.0,9.77432611465,16.2629593197,12.7051760192,42.6363059685,21.2061219749,41.1199475918,15.2047522547,11.4099250429,16.7955106443,9.6805544113,13.219061328,8.42997049389,15.0527011744,10.8155616173,58.3209556979,50.8126859781,55.352190276,81.2417888549
BD.RS.NA,242.518434178,177.197272312,80.7391301986,66.458551682,145.188410789,100.644207738,34.7768905062,308.517412894,280.591066675,754.132741855,623.87317783,202.224517787,155.456331535,62.1725105904,191.446688886,331.985602633,57.4847152841,1281.59479453,171.588156242,344.093725395,110.586867462,92.2988995648,275.338861851,121.547566926,121.720614781,164.260635921,342.403402014,243.072999297,362.438627333,165.662066639,73.1251887202,128.96326535,637.689339612,241.615991484,126.914426762,54.2554104439,191.647599868,103.008776129,185.889703372,80.6000863315,66.1213205385,25.7516678136,59.3374813901,146.126629691,76.7242801915,10.8352022745,0.0,41.5106799723,22.2412832358,123.192369405,38.4691169743,136.421395232,56.6439574052,63.0982774885,70.873658844,37.5005107904,48.777544941,28.092045156,69.9389228625,33.9886100539,195.964202743,169.554744227,192.302080093,274.505879277
BD.RS.NT,107.790609818,83.3738578516,37.6749652799,29.9210664538,68.0527154506,45.7054812721,17.6720783034,144.403990759,125.849928232,372.592169543,287.289532464,102.467328871,74.3503689527,30.7374332843,88.03405342,156.906158638,28.867027304,515.219526144,65.3002103097,146.654550671,45.7392594571,49.0453906503,131.387174196,50.8604971791,44.5103065118,69.3512453673,147.59979903,109.408180532,173.08123825,84.7417827356,24.0866084968,55.5083164648,348.66197316,92.8032316214,57.3516014868,19.5622258912,77.8875254873,37.0847811448,83.4989010156,21.3553044492,24.0652663684,9.20436255282,23.845308104,66.7976238627,40.4602984278,12.6152370175,29.0472811303,0.0,21.8855750518,29.8750262155,20.4056073666,40.3305704166,57.6003819647,46.0518894039,50.552509159,29.5735822905,41.1059515115,22.9374168116,59.7239126665,29.9418733509,97.6187456294,87.4560534021,101.091459856,146.37469729
BD.RS.NW,167.18901777,120.721562939,53.5987610541,44.9544167773,97.4817558924,66.8375344275,23.8158895342,232.00512717,201.431578844,523.786089785,453.031807174,137.271294995,110.122171177,44.2890005743,134.337217756,231.397499843,40.4412862059,966.400768131,122.207343709,269.093897488,76.086717955,88.2671037884,214.623564468,85.6394114669,92.197970148,120.105222733,255.87234695,185.456515356,302.914213999,133.786284158,52.9190140875,91.8783378507,577.884700378,202.855975188,83.3362951218,33.4254512335,123.032649773,66.641919109,120.153190052,54.7326717174,45.0844529585,15.1831436328,39.9038450655,92.3182147506,89.0249081532,16.5415004351,26.1218455259,36.7329948528,0.0,95.3962660312,24.3812011014,121.502299563,52.4110254004,66.1559342034,63.3208517149,31.8401519124,40.6184412444,21.0901765692,67.8820783109,24.7909587038,148.930895705,126.841388513,149.762196355,206.803972517
BD.RS.PB,157.59063395,129.935264638,58.8364094206,44.7134867635,106.206545874,69.5521764099,29.5708856441,223.702233116,184.42289018,606.364061432,434.0571061,171.299233371,116.967080544,49.9614943132,133.004080796,244.311070567,47.6407716555,658.573890819,76.3299673129,208.742514098,61.5370998783,101.312053995,210.839877792,68.5841278276,48.409174482,94.2145380777,207.194321915,163.312296758,293.086464457,147.309372856,20.9782134308,77.405353731,687.07525919,131.433748178,87.4657493132,30.5658190644,111.307384636,49.3785638616,128.087458634,31.1308283628,28.0599442892,17.1771848758,31.6873565831,105.781843083,112.458895055,35.5539189327,92.6705024211,32.1159197358,61.1005429148,0.0,74.8453588338,63.4436553299,140.588716596,108.098439268,109.743489384,65.9690057173,93.8069374797,51.4487901195,140.189724373,69.2514185383,161.398755999,148.579235997,176.527865074,256.135163957
BD.RS.RS,88.5838196666,66.1588147131,29.3774565502,24.0599476088,53.4604883134,36.0470754754,13.6098442365,123.786686623,106.452564804,293.5548158,241.991273793,78.5137765751,60.3422034586,24.6564491109,72.2588977936,126.49291852,22.7831925565,480.420564371,59.5125625459,136.230768882,38.7628215583,45.3943468446,114.320653626,43.8086836347,43.9435448095,61.3923233014,131.542130493,96.7872472347,157.692376647,72.6395280863,24.0399183409,47.6164014411,308.032674681,96.8396516975,44.8767301829,15.0917681639,61.9438083181,30.9191978396,64.5654237996,21.0475939058,21.3735739258,6.44620788006,20.0103217967,50.2706885191,41.1586156312,9.17634434269,15.0165603649,11.3831414905,8.10343828987,38.8387652256,0.0,52.5459903715,37.1268738335,37.0873193298,38.266645947,20.7812657087,27.7428676778,15.0260749852,42.7603615495,18.7562828892,81.5901373147,71.0466089008,83.4530775219,117.458593501
BD.RS.SR,95.795902092,75.9492245833,35.7971389535,27.5615492136,63.4777658156,43.4826126354,16.208840143,110.249241271,103.26138256,332.509761318,232.462576838,95.0229368683,63.7231510206,26.4258660637,75.9284682221,137.709684868,25.4230815186,360.735384767,54.683251837,95.6063268016,41.1105044133,33.203849105,95.3054234312,43.1405377009,30.0816171148,53.7356849687,109.104539493,79.0354378389,111.562336748,62.2119495792,20.7414628054,45.9284114989,247.87327024,40.9668004476,55.6844596529,25.5401766222,82.3469829256,42.5993813146,83.4174433855,32.8015331673,23.580428222,13.728407821,22.8419167732,68.9744801088,36.7705327735,14.8068841476,44.3142511246,18.721888375,33.6048072657,27.3962685874,43.7262527489,0.0,64.6202729322,41.8191475098,46.5435628385,29.6955111674,43.1674508757,24.5862122112,60.4640031327,33.5619157489,76.392685121,71.7013679794,79.7601234935,121.606534197
BD.RP.DJ,240.505639229,168.96064817,78.748787933,65.9440165884,140.086975453,100.311888748,30.8795091511,284.159671714,271.227021279,681.873212729,587.971045761,180.998264985,143.291494603,55.497792086,183.187661818,311.519081815,50.8690817646,1322.15868455,186.555414262,339.881053039,115.737820137,86.1171640801,248.493396037,124.69656673,132.979631263,165.088753986,337.044912029,230.68762244,331.403574736,140.452612242,85.6584979076,129.016269779,540.530225535,258.921494948,127.930546947,67.7842741569,212.361190541,123.071422008,190.312829533,110.080596387,75.5676394941,34.2166135183,64.185888318,150.038473427,103.483368694,14.4539402469,48.5747188982,70.5889027717,38.2679633114,160.268977252,81.5618075616,170.594320717,0.0,46.6084502486,38.4527402376,14.3778327802,14.3496184296,10.9826017064,26.4536407723,12.6402972511,170.337202724,142.852288919,157.961462145,222.982193479
