,BD.BA.BS,BD.BA.BL,BD.BA.BG,BD.BA.JK,BD.BA.PT,BD.BA.PR,BD.CG.BD,BD.CG.BB,BD.CG.CP,BD.CG.CT,BD.CG.CM,BD.CG.CB,BD.CG.FN,BD.CG.KG,BD.CG.LK,BD.CG.NO,BD.CG.PC,BD.DA.DH,BD.DA.FR,BD.DA.GZ,BD.DA.GG,BD.DA.JM,BD.DA.KS,BD.DA.MD,BD.DA.MK,BD.DA.MU,BD.DA.NY,BD.DA.NS,BD.DA.MM,BD.DA.NK,BD.DA.RB,BD.DA.SA,BD.DA.SP,BD.DA.TA,BD.KH.BH,BD.KH.CD,BD.KH.JS,BD.KH.JN,BD.KH.KL,BD.KH.KU,BD.KH.MG,BD.KH.ME,BD.KH.NR,BD.KH.ST,BD.RS.BO,BD.RS.JP,BD.RS.NA,BD.RS.NT,BD.RS.NW,BD.RS.PB,BD.RS.RS,BD.RS.SR,BD.RP.DJ,BD.RP.GB,BD.RP.KR,BD.RP.LL,BD.RP.NP,BD.RP.PN,BD.RP.RP,BD.RP.TH,BD.SY.HA,BD.SY.MB,BD.SY.SN,BD.SY.SL
BD.RP.KR,729.470403586,476.538313124,253.414719297,210.951710391,425.154537337,340.751983274,80.4949818906,601.933883038,675.554990396,1681.00653523,1341.04980983,487.631228389,337.891595443,127.277946146,472.755548622,788.342123824,120.929467122,3665.38627673,772.505250286,800.200129978,440.803547355,225.284836424,515.742694551,414.824119291,468.221124327,449.193584971,803.072131058,502.573441701,734.604998899,280.171967315,415.079092064,372.942250454,1135.0290489,784.149449756,460.161402388,386.016661098,1021.13212748,671.443774638,734.967188274,640.027163767,379.132994528,200.938952962,283.024820339,605.003528805,442.473698557,87.0833557241,345.78937813,391.308895574,265.258810029,814.958913769,514.191509404,696.198289944,199.220528209,125.298783516,0.0,42.971677316,91.5219767815,66.398562653,105.796783239,109.79724873,348.413881925,297.789680495,313.353968237,461.891722496
BD.RP.LL,252.12670465,162.74291684,85.2530057525,71.9959130449,143.904738309,114.993656413,27.2345036769,224.237917754,240.488645903,578.575789553,482.296313952,163.999905277,118.733916723,44.8132276083,165.227091951,273.605027632,41.9769143056,1343.67887769,271.590769875,304.58201585,152.33718952,102.280928902,200.637618887,145.482730337,170.141916165,161.76742222,294.802246953,189.020332341,307.725632983,116.839509781,145.720878088,131.88254719,550.890770941,304.470184992,154.444632007,127.567133243,341.48047045,225.398297061,244.969961899,215.959882928,130.072314397,65.6671268547,96.6268086474,199.325278565,168.435356142,29.4864846622,107.484243432,134.481258426,78.3572211935,287.791334929,164.042856802,260.942583953,43.760376226,59.3830713349,24.763971558,0.0,10.7778489473,11.6341858006,31.0853996596,22.2331952325,132.22617541,110.679039996,124.256108709,173.109619472
BD.RP.NP,302.762281713,195.502260861,101.39939109,85.9857145093,171.894967563,136.574213798,32.9750644065,279.776655296,293.189554709,703.432598322,592.423420218,197.731973583,145.098264526,55.1174626038,200.304370279,331.738241559,51.4212015008,1641.26126913,324.944387787,378.482483986,181.739843051,132.399414289,254.437687669,174.993674175,205.92682066,197.015948289,362.401988298,235.403394903,396.103278856,152.58212228,173.090540104,159.637342279,734.795119351,376.617437544,182.710105811,146.9131624,399.22303188,262.32767138,288.319042958,249.8130334,153.384664774,74.9292003761,114.28645119,233.200160803,202.394062925,33.4595283847,116.178024341,155.331295396,83.0660533219,340.070657805,181.983958528,315.215079267,36.293127988,78.041331869,43.0131254308,8.78961212455,0.0,8.9436779636,41.179290067,17.3059503634,167.718571769,140.433813094,161.599359354,222.216565846
BD.RP.PN,333.987888979,212.953001942,109.749042007,94.1252152723,186.491464578,148.54980541,35.4031599725,319.310681635,328.10011525,764.886758785,664.702604627,211.673201501,160.134459181,60.6727968771,221.395092389,364.195825781,56.0704083966,1886.96815023,367.033073047,441.8687845,201.992305598,172.187415216,296.475397599,195.700854827,237.618323914,223.225530087,414.030288954,271.250439499,481.098818327,182.435102971,197.505678267,178.786930128,950.437863151,451.943860573,198.363481865,162.820062952,438.296184497,291.775177084,312.341162271,283.850867727,171.865140811,83.1561500248,126.663419638,250.897200838,260.089057868,45.2721485626,141.962376406,183.901223551,91.5095443503,395.726581784,209.128471214,380.914987898,58.9352506496,113.131975377,66.5322744346,20.2288734116,19.0683992506,0.0,76.7692453058,11.7327328295,191.968517355,158.470900465,187.99314293,251.175109175
BD.RP.RP,480.431690848,316.572751056,165.102209401,137.807663904,279.367121652,220.585030126,54.8521628975,427.859515274,457.688524997,1149.54689077,924.53717152,329.605531098,232.138027659,88.9167983091,318.259742431,532.970353318,84.0440872665,2447.81676388,495.545704911,553.781069566,284.240963662,157.32790219,378.702131428,271.789840547,304.038494783,300.990656608,548.290668048,353.353559257,548.396405103,221.057557025,259.080841782,248.00904462,906.607510319,521.666439628,295.521475841,229.313159248,632.942597653,407.544638621,467.096323354,375.497854516,236.07364652,116.747745961,179.071161678,381.013002992,242.131743257,36.8971990497,161.317970532,218.555767384,134.435886406,492.164343738,271.633223167,427.570013914,64.793174775,67.6552470718,47.5366689827,24.2367703542,39.3694664969,34.4246760719,0.0,51.8457096578,258.282943314,222.102648327,246.640687423,354.103427807
BD.RP.TH,377.405657863,242.477343826,123.660197635,106.00774168,211.138002687,166.573491662,41.1414428077,372.074375254,375.371356515,886.722807246,766.778056564,244.940956297,185.243824582,70.9125738746,253.139734664,418.127574427,65.5718659506,2135.33249528,408.036762493,506.646504714,225.386428064,197.909031284,348.222177697,220.084320623,265.547880846,253.433490627,473.569413684,313.786315065,562.827130527,218.238861842,216.676875844,202.572457869,1121.12006551,509.955707186,221.410640774,173.391142984,478.441864448,314.800809663,346.466162625,301.565624964,188.151895582,87.387212737,139.889714974,276.892251377,281.230350119,46.7307323888,138.188457042,193.137916195,86.5422055753,428.545749033,210.021059632,418.342163791,54.5727260208,129.527149114,86.356135162,30.343496999,28.9615355576,9.20931289602,90.7524336012,0.0,227.812753156,189.820302315,227.446761355,304.92851723
BD.SY.HA,2.9299744907,1.87897923611,1.15438287946,0.913000735662,1.82576479705,1.58751717882,0.307313373089,0.93615327275,2.07040425816,5.61536332369,3.34811417505,1.96443690561,0.957342518379,0.326401726613,1.5853709846,2.63837925298,0.362300974857,14.3188664426,3.76166453919,2.71605486152,2.04153138592,2.79420327201,0.832880476305,1.71630845222,2.28015203171,1.57224647586,2.42102157191,1.14256026441,3.66294145646,0.973159036916,2.41688914165,1.36679582625,13.5936287453,4.63094068092,2.2558582475,2.72886209842,5.9700816427,4.33283064924,3.83513749557,4.81610169094,2.16924320722,1.54635163175,1.47554537286,3.35620985005,5.58042470036,1.45715637113,4.60726426824,3.64124424213,3.0064047886,5.77559479505,5.28301386864,5.5063610756,4.25261324945,3.1395949121,2.28226911086,1.50297185393,2.33763633357,1.25495374998,3.76539763664,1.8973510634,0.0,0.372588412188,0.688807888333,1.01908504889
BD.SY.MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.SY.SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD.SY.SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
