link_no,start_location_lrp,start_location_offset,start_location_chainage,end_location_lrp,end_location_offset,end_location_chainage,length,heavy_truck_aadt,medium_truck_aadt,small_truck_aadt,large_bus_aadt,medium_bus_aadt,micro_bus_aadt,utility,car_aadt,total_motorized_aadt
R585-6,LRP050,895,49.915,LRP054,442,53.542,3.627,198,1344,580,560,590,354,306,249,6148
R585-7,LRP054,442,53.542,LRP066,1200,66.22,12.678,198,1344,580,560,590,354,306,249,6148
R585-8,LRP066,1200,66.22,LRP069,430,68.48,2.26,81,670,395,149,385,103,43,120,3273
R585-9,LRP069,430,68.48,LRP087,1792,87.752,19.272,81,670,395,149,385,103,43,120,3273
R585-10,LRP087,1792,87.752,LRP107,44,105.624,17.872,81,670,395,149,385,103,43,120,3273
R585-11,LRP107,44,105.624,LRP107,1150,106.73,1.106,0,150,121,0,95,80,27,87,5355
R586-1,LRPS,0,0,LRPS,1160,1.16,1.16,158,899,403,264,265,284,98,163,5615
R586-2,LRPS,1160,1.16,LRPE,0,3.266,2.106,158,899,403,264,265,284,98,163,5615
R587-1,LRPS,0,0,LRP003,650,3.65,3.65,198,636,304,168,410,277,270,245,11178
R587-2,LRP003,650,3.65,LRPE,0,6.14,2.49,198,636,304,168,410,277,270,245,11178
R601-1,LRPS,0,0,LRP019,204,18.384,18.384,8,184,212,0,72,62,17,18,2953
R601-2,LRP019,204,18.384,LRP037,748,36.928,18.544,8,184,212,0,72,62,17,18,2953
R601-3,LRP037,748,36.928,LRP053,11,52.435,15.507,8,184,212,0,72,62,17,18,2953
R602-1,LRPS,0,0,LRPS,1415,1.415,1.415,0,73,51,10,3,24,2,3,1064
R603-1,LRPS,0,0,LRP022,769,21.922,21.922,1,102,70,1,36,40,27,13,3181
R603-2,LRP022,769,21.922,LRPE,0,25.795,3.873,1,102,70,1,36,40,27,13,3181
R604-1,LRPS,0,0,LRP019,628,18.624,18.624,1,178,130,6,92,53,22,22,3495
R604-2,LRP019,628,18.624,LRP019,2308,20.304,1.68,1,178,130,6,92,53,22,22,3495
R604-3,LRP019,2308,20.304,LRP019,4038,22.034,1.73,1,178,130,6,92,53,22,22,3495
R604-4,LRP019,4038,22.034,LRPE,0,40.58,18.546,1,178,130,6,92,53,22,22,3495
R605-1,LRPS,0,0,LRPS,42650,42.65,42.65,1,178,130,6,92,53,22,22,3495
R681-1,LRPS,0,0,LRPS,13230,13.23,13.23,20,91,122,47,46,24,20,21,1707
R682-1,LRPS,0,0,LRPE,0,1.33,1.33,na,na,na,na,na,na,na,na,na
R685-1,LRPS,0,0,LRP004a,0,3.995,3.995,11,532,409,399,404,490,289,337,9691
R685-2,LRP004a,0,3.995,LRP021,365,21.42,17.425,11,532,409,399,404,490,289,337,9691
R685-3,LRP021,365,21.42,LRP024,1000,24.12,2.7,11,532,409,399,404,490,289,337,9691
R685-4,LRP024,1000,24.12,LRP049,210,48.535,24.415,6,454,276,257,203,169,279,150,3964
R685-5,LRP049,210,48.535,LRPE,0,66.42,17.885,6,454,276,257,203,169,279,150,3964
R710-1,LRPS,0,0,LRP011,155,11.045,11.045,9,374,176,84,201,168,31,174,3304
R710-2,LRP011,155,11.045,LRP014,375,14.175,3.13,9,374,176,84,201,168,31,174,3304
R710-3,LRP014,375,14.175,LRP042,740,42.51,28.335,9,374,176,84,201,168,31,174,3304
R710-4,LRP042,740,42.51,LRP047,850,47.65,5.14,11,597,594,223,206,159,125,139,5128
R710-5,LRP047,850,47.65,LRP063,520,63.55,15.9,11,597,594,223,206,159,125,139,5128
R710-6,LRP063,520,63.55,LRPE,0,73.11,9.56,11,597,594,223,206,159,125,139,5128
R711-1,LRPS,0,0,LRPS,6480,6.48,6.48,32,906,949,58,72,57,53,53,3729
R712-1,LRPS,0,0,LRP001,1965,2.22,2.22,4,42,78,5,5,8,7,90,1953
R713-1,LRPS,0,0,LRP004,1435,5.435,5.435,0,41,63,0,0,0,0,0,1812
R720-1,LRPS,0,0,LRP046,1005,47.01,47.01,0,50,33,15,80,81,53,43,1644
R743-1,LRPS,0,0,LRPE,0,4.86,4.86,na,na,na,na,na,na,na,na,na
R745-1,LRPS,0,0,LRP011,140,9.906,9.906,9,257,225,152,127,104,9,35,4119
R745-2,LRP011,140,9.906,LRP020,40,18.809,8.903,9,257,225,152,127,104,9,35,4119
R745-3,LRP020,40,18.809,LRP030,1080,29.869,11.06,9,257,225,152,127,104,9,35,4119
R745-4,LRP030,1080,29.869,LRP041,775,40.569,10.7,9,257,225,152,127,104,9,35,4119
R745-5,LRP041,775,40.569,LRP049,838,48.623,8.054,9,257,225,152,127,104,9,35,4119
R745-6,LRP049,838,48.623,LRP054,970,53.74,5.117,9,257,225,152,127,104,9,35,4119
R745-7,LRP054,970,53.74,LRP079,1870,79.325,25.585,9,257,225,152,127,104,9,35,4119
R745-8,LRP079,1870,79.325,LRP079,2915,80.37,1.045,9,257,225,152,127,104,9,35,4119
R745-9,LRP079,2915,80.37,LRP103,250,101.975,21.605,9,257,225,152,127,104,9,35,4119
R745-10,LRP103,250,101.975,LRP116,159,114.975,13,9,257,225,152,127,104,9,35,4119
R745-11,LRP116,159,114.975,LRP116,1202,116.018,1.043,4,231,127,106,84,56,27,35,2567
R745-12L,LRP116,1202,116.018,LRPE,0,116.818,0.8,4,231,127,106,84,56,27,35,2567
R745-12R,LRP116,1202,116.018,LRPE,0,116.818,0.8,4,231,127,106,84,56,27,35,2567
R746-1,LRPS,0,0,LRP013,960,13.84,13.84,9,257,225,152,127,104,9,35,4119
R746-2,LRP013,960,13.84,LRPE,0,15.636,1.796,9,257,225,152,127,104,9,35,4119
R747-1,LRPS,0,0,LRP013,1365,13.374,13.374,4,199,133,54,168,64,27,42,2731
R747-2,LRP013,1365,13.374,LRP024,2037,25.265,11.891,4,199,133,54,168,64,27,42,2731
R747-3,LRP024,2037,25.265,LRPE,0,43.468,18.203,4,199,133,54,168,64,27,42,2731
R748-1,LRPS,0,0,LRP018,340,18.375,18.375,9,257,225,152,127,104,9,35,4119
R748-2,LRP018,340,18.375,LRP044,533,44.678,26.303,4,231,127,106,84,56,27,35,2567
R748-3,LRP044,533,44.678,LRP052,567,52.642,7.964,4,231,127,106,84,56,27,35,2567
R748-4,LRP052,567,52.642,LRP058,935,58.99,6.348,4,231,127,106,84,56,27,35,2567
R748-5,LRP058,935,58.99,LRP065,832,65.882,6.892,4,231,127,106,84,56,27,35,2567
R749-1,LRPS,0,0,LRP023,5440,28.445,28.445,14,74,205,44,31,33,33,21,2983
R755-1,LRPS,0,0,LRP003,788,3.22,3.22,56,422,361,207,77,80,9,82,3356
R755-2,LRP003,788,3.22,LRP013,538,12.968,9.748,56,422,361,207,77,80,9,82,3356
R755-3,LRP013,538,12.968,LRP027,346,26.752,13.784,56,422,361,207,77,80,9,82,3356
R755-4,LRP027,346,26.752,LRPE,0,38.265,11.513,56,422,361,207,77,80,9,82,3356
R760-1,LRPS,0,0,LRP004,884,4.615,4.615,13,778,586,376,458,279,262,338,11297
R760-2,LRP004,884,4.615,LRP030,533,30.246,25.631,49,861,611,422,422,295,148,176,4912
R760-3,LRP030,533,30.246,LRPE,0,58.5,28.254,49,861,611,422,422,295,148,176,4912
R765-1,LRPS,0,0,LRP025,1044,25.035,25.035,19,350,421,125,312,122,46,99,3693
R765-2,LRP025,1044,25.035,LRPE,0,42.943,17.908,19,350,421,125,312,122,46,99,3693
R770-1,LRPS,0,0,LRP013,1740,14.24,14.24,52,177,241,153,246,117,75,103,3536
R770-2,LRP013,1740,14.24,LRP017,1773,18.303,4.063,52,177,241,153,246,117,75,103,3536
R770-3,LRP017,1773,18.303,LRP027,16,26.466,8.163,52,177,241,153,246,117,75,103,3536
R770-4,LRP027,16,26.466,LRP041,275,41.075,14.609,52,177,241,153,246,117,75,103,3536
R770-5,LRP041,275,41.075,LRPE,0,42.78,1.705,52,177,241,153,246,117,75,103,3536
R771-1,LRPS,0,0,LRP013,1215,14.585,14.585,0,46,49,3,16,23,45,38,2407
R771-2,LRP013,1215,14.585,LRPE,0,31.18,16.595,0,44,105,0,28,6,0,8,1388
R772-1,LRPS,0,0,LRPS,630,0.63,0.63,0,40,156,104,106,116,42,26,2314
R801-1,LRPS,0,0,LRPE,0,10,10,60,2749,1536,58,1188,1138,131,1514,12698
R802-1,LRPS,0,0,LRPS,4456,4.456,4.456,60,2749,1536,58,1188,1138,131,1514,12698
R810-1,LRPS,0,0,LRPS,8070,8.07,8.07,60,2749,1536,58,1188,1138,131,1514,12698
R810-2,LRPS,8070,8.07,LRPE,0,10.642,2.572,60,2749,1536,58,1188,1138,131,1514,12698
R812-1,LRPS,0,0,LRP011a,0,10.159,10.159,65,1082,407,0,741,616,106,617,7823
R812-2,LRP011a,0,10.159,LRP011a,1841,12,1.841,65,1082,407,0,741,616,106,617,7823
R812-3,LRP011a,1841,12,LRP014,845,13.22,1.22,65,1082,407,0,741,616,106,617,7823
R812-4,LRP014,845,13.22,LRPE,0,42.285,29.065,0,82,91,0,26,238,26,97,2398
R813-1,LRPS,0,0,LRPS,3378,3.378,3.378,1,340,310,21,131,197,31,165,4762
R814-1,LRPS,0,0,LRPS,1285,1.285,1.285,65,1082,407,0,741,616,106,617,7823
R814-2,LRPS,1285,1.285,LRPS,1295,1.295,0.01,65,1082,407,0,741,616,106,617,7823
R814-3,LRPS,1295,1.295,LRPE,0,2.034,0.739,65,1082,407,0,741,616,106,617,7823
R820-1,LRPS,0,0,LRP006a,0,5.973,5.973,0,117,84,149,192,90,34,55,4018
R820-2,LRP006a,0,5.973,LRP007,3736,10.166,4.193,0,117,84,149,192,90,34,55,4018
R820-3,LRP007,3736,10.166,LRP019,2721,21.711,11.545,0,204,374,159,139,302,39,442,4785
R820-4,LRP019,2721,21.711,LRP024,2578,26.016,4.305,0,204,374,159,139,302,39,442,4785
R820-5,LRP024,2578,26.016,LRP041,802,41.911,15.895,0,204,374,159,139,302,39,442,4785
R820-6,LRP041,802,41.911,LRP049,888,49.591,7.68,0,204,374,159,139,302,39,442,4785
R820-7,LRP049,888,49.591,LRP055,771,55.758,6.167,0,183,244,164,138,210,76,356,3166
R820-8,LRP055,771,55.758,LRPE,0,72.052,16.294,0,183,244,164,138,210,76,356,3166
R821-1,LRPS,0,0,LRPS,1285,1.285,1.285,0,117,84,149,192,90,34,55,4018
R822-1,LRPS,0,0,LRPS,1924,1.924,1.924,0,117,84,149,192,90,34,55,4018
R850-1,LRPS,0,0,LRP019,720,19.07,19.07,38,468,277,151,161,69,34,47,3230
R850-2,LRP019,720,19.07,LRP035,740,35.09,16.02,19,257,311,146,159,75,16,29,2777
R850-3,LRP035,740,35.09,LRP039,580,38.46,3.37,19,257,311,146,159,75,16,29,2777
R850-4,LRP039,580,38.46,LRPE,0,44.83,6.37,19,257,311,146,159,75,16,29,2777
R851-1,LRPS,0,0,LRPE,0,0.65,0.65,38,468,277,151,161,69,34,47,3230
R860-1,LRPS,0,0,LRP005,900,6,6,16,139,186,82,89,44,54,36,3565
R860-2,LRP005,900,6,LRP008,420,8.518,2.518,16,139,186,82,89,44,54,36,3565
R860-3,LRP008,420,8.518,LRP012,133,12.561,4.043,16,139,186,82,89,44,54,36,3565
R860-4,LRP012,133,12.561,LRP016,6126,22.531,9.97,6,117,139,55,53,42,47,27,2460
R860-5,LRP016,6126,22.531,LRP027,1304,28.627,6.096,6,117,139,55,53,42,47,27,2460
R860-6,LRP027,1304,28.627,LRP056,7255,63.829,35.202,6,117,139,55,53,42,47,27,2460
R860-7,LRP056,7255,63.829,LRPE,0,74.634,10.805,0,185,37,20,30,37,14,8,870
R861-1,LRPS,0,0,LRP006,1044,6.904,6.904,0,152,214,104,339,274,97,92,4791
R870-1,LRPS,0,0,LRP009,964,9.671,9.671,41,192,364,97,149,116,44,128,2637
R870-2,LRP009,964,9.671,LRP015,381,15.053,5.382,41,192,364,97,149,116,44,128,2637
R870-3,LRP015,381,15.053,LRP029,1207,29.935,14.882,41,192,364,97,149,116,44,128,2637
R870-4,LRP029,1207,29.935,LRP044,298,43.972,14.037,41,192,364,97,149,116,44,128,2637
R870-5,LRP044,298,43.972,LRP051,830,51.524,7.552,0,0,137,0,0,158,134,133,2863
R870-6,LRP051,830,51.524,LRP054,123,53.911,2.387,0,0,137,0,0,158,134,133,2863
R870-7,LRP054,123,53.911,LRP064,285,63.257,9.346,0,0,137,0,0,158,134,133,2863
R870-8,LRP064,285,63.257,LRP064,1280,64.252,0.995,0,115,139,106,102,47,43,31,2509
R880-1,LRPS,0,0,LRP012,595,11.862,11.862,15,84,454,71,73,78,27,48,3862
R880-2,LRP012,595,11.862,LRP022,276,21.543,9.681,15,84,454,71,73,78,27,48,3862
R880-3,LRP022,276,21.543,LRP029,873,29.138,7.595,15,84,454,71,73,78,27,48,3862
R880-4,LRP029,873,29.138,LRP043,948,43.021,13.883,15,84,454,71,73,78,27,48,3862
R880-5,LRP043,948,43.021,LRP056,305,55.728,12.707,8,78,169,13,47,37,14,23,1431
R881-1,LRPS,0,0,LRPE,0,40.646,40.646,0,79,20,80,17,54,25,17,2591
R890-1,LRPS,0,0,LRP012,892,12.872,12.872,6,69,98,78,112,62,61,40,2953
R890-2,LRP012,892,12.872,LRP016,855,16.885,4.013,6,69,98,78,112,62,61,40,2953
R890-3,LRP016,855,16.885,LRP041,320,41.62,24.735,6,69,98,78,112,62,61,40,2953
R890-4,LRP041,320,41.62,LRP052,610,53.04,11.42,3,212,188,126,142,96,52,63,3010
R890-5,LRP052,610,53.04,LRP072,990,73.78,20.74,3,212,188,126,142,96,52,63,3010
R890-6,LRP072,990,73.78,LRPE,0,108.785,35.005,3,212,188,126,142,96,52,63,3010
R891-1,LRPS,0,0,LRPS,615,0.615,0.615,0,213,257,33,198,36,19,30,2020
Z1001-1,LRPS,0,0,LRP011,185,11.165,11.165,0,29,36,0,0,24,12,7,418
Z1002-1,LRPS,0,0,LRP003,155,3.15,3.15,0,0,36,0,3,113,3,1,995
Z1002-2,LRP003,155,3.15,LRPE,0,6.963,3.813,na,na,na,na,na,na,na,na,na
Z1004-1,LRPS,0,0,LRPS,27330,27.33,27.33,0,101,207,0,125,133,348,14,2365
Z1005-1,LRPS,0,0,LRP038,1606,39.06,39.06,0,175,149,0,127,190,115,104,1620
Z1007-1,LRPS,0,0,LRPS,18766,18.766,18.766,0,14,40,0,0,61,33,7,1091
Z1008-1,LRPS,0,0,LRP013,1351,14.458,14.458,0,24,139,0,0,75,0,35,2341
Z1009-1,LRPS,0,0,LRP015,106,14.216,14.216,0,27,67,0,12,146,198,46,1906
Z1012-1,LRPS,0,0,LRP011,586,10.883,10.883,na,na,na,na,na,na,na,na,na
Z1012-2,LRP011,586,10.883,LRPE,0,15.304,4.421,na,na,na,na,na,na,na,na,na
Z1013-1,LRPS,0,0,LRP019,1022,20.045,20.045,0,103,63,0,0,79,25,62,975
Z1016-1,LRPS,0,0,LRPS,19721,19.721,19.721,na,na,na,na,na,na,na,na,na
Z1017-1,LRPS,0,0,LRP016,2366,18.565,18.565,0,44,40,0,0,24,71,11,1317
Z1018-1,LRPS,0,0,LRP008,68,8.078,8.078,0,39,139,0,129,110,47,98,3051
Z1019-1,LRPS,0,0,LRPS,6905,6.905,6.905,0,110,79,0,0,66,13,24,2771
Z1019-2,LRPS,6905,6.905,LRPE,0,19.14,12.235,na,na,na,na,na,na,na,na,na
Z1021-1,LRPS,0,0,LRPS,19875,19.875,19.875,na,na,na,na,na,na,na,na,na
Z1022-1,LRPS,0,0,LRP008,6733,14.733,14.733,0,28,105,0,0,21,1,7,1258
Z1025-1,LRPS,0,0,LRPS,1520,1.52,1.52,0,12,22,32,0,17,0,18,307
Z1025-2,LRPS,1520,1.52,LRP005,2470,6.69,5.17,0,12,22,32,0,17,0,18,307
Z1025-3,LRP005,2470,6.69,LRP005,8075,12.295,5.605,0,12,22,32,0,17,0,18,307
Z1026-1,LRPS,0,0,LRPS,7150,7.15,7.15,0,12,22,32,0,17,0,18,307
Z1028-1,LRPS,0,0,LRP012,1120,13.28,13.28,0,52,89,0,0,8,0,15,947
Z1029-1,LRPS,0,0,LRP002,449,2.381,2.381,na,na,na,na,na,na,na,na,na
Z1029-2,LRP002,449,2.381,LRP012,2396,13.304,10.923,0,99,301,40,13,396,164,430,8003
Z1030-1,LRPS,0,0,LRPS,9875,9.875,9.875,0,31,51,0,2,18,0,2,1608
Z1030-2,LRPS,9875,9.875,LRP017,977,17.672,7.797,na,na,na,na,na,na,na,na,na
Z1030-3,LRP017,977,17.672,LRPE,0,22.73,5.058,na,na,na,na,na,na,na,na,na
Z1031-1,LRPS,0,0,LRPS,1390,1.39,1.39,na,na,na,na,na,na,na,na,na
Z1031-2,LRPS,1390,1.39,LRP004,895,4.325,2.935,na,na,na,na,na,na,na,na,na
Z1031-3,LRP004,895,4.325,LRP007,495,6.97,2.645,0,174,111,6,173,186,62,161,8769
Z1031-4,LRP007,495,6.97,LRP007,730,7.205,0.235,na,na,na,na,na,na,na,na,na
Z1031-5,LRP007,730,7.205,LRP009,976,9.458,2.253,na,na,na,na,na,na,na,na,na
Z1031-6,LRP009,976,9.458,LRP010,623,10.211,0.753,na,na,na,na,na,na,na,na,na
Z1031-7,LRP010,623,10.211,LRP014,944,14.607,4.396,na,na,na,na,na,na,na,na,na
Z1031-8,LRP014,944,14.607,LRP021,1126,21.269,6.662,na,na,na,na,na,na,na,na,na
Z1031-9,LRP021,1126,21.269,LRP021,1693,21.836,0.567,na,na,na,na,na,na,na,na,na
Z1031-10,LRP021,1693,21.836,LRPE,0,35.935,14.099,na,na,na,na,na,na,na,na,na
Z1032-1,LRPS,0,0,LRP002,2976,4.994,4.994,0,66,182,6,2,71,8,18,2824
Z1032-2,LRP002,2976,4.994,LRP011,148,11.233,6.239,0,66,182,6,2,71,8,18,2824
Z1033-1,LRPS,0,0,LRP006,3208,9.282,9.282,0,128,261,0,138,297,35,80,4335
Z1033-2,LRP006,3208,9.282,LRP019,2130,21.264,11.982,na,na,na,na,na,na,na,na,na
Z1033-3,LRP019,2130,21.264,LRPE,0,25.648,4.384,na,na,na,na,na,na,na,na,na
Z1034-1,LRPS,0,0,LRPS,2652,2.652,2.652,0,83,120,0,93,238,23,48,2084
Z1034-2,LRPS,2652,2.652,LRP012,859,12.642,9.99,0,101,211,0,112,359,12,57,3434
Z1034-3,LRP012,859,12.642,LRP018,1367,19.25,6.608,na,na,na,na,na,na,na,na,na
Z1034-4,LRP018,1367,19.25,LRPE,0,29.806,10.556,na,na,na,na,na,na,na,na,na
Z1035-1,LRPS,0,0,LRP022,11,21.655,21.655,1,54,163,0,0,197,0,0,3026
Z1036-1,LRPS,0,0,LRPS,960,0.96,0.96,0,36,53,0,9,18,17,11,1479
Z1036-2,LRPS,960,0.96,LRPE,0,8.814,7.854,na,na,na,na,na,na,na,na,na
Z1037-1,LRPS,0,0,LRPS,12240,12.24,12.24,0,130,197,0,0,201,18,69,2386
Z1038-1,LRPS,0,0,LRPS,3700,3.7,3.7,na,na,na,na,na,na,na,na,na
Z1039-1,LRPS,0,0,LRPS,13362,13.362,13.362,0,0,47,0,0,34,0,35,2403
Z1039-1,LRPS,0,0,LRPS,13362,13.362,13.362,0,4,40,0,80,40,0,3,669
Z1039-2,LRPS,13362,13.362,LRPS,16732,16.732,3.37,na,na,na,na,na,na,na,na,na
Z1040-1,LRPS,0,0,LRP006c,20,6.69,6.69,0,152,129,0,137,75,25,21,2672
Z1040-2,LRP006c,20,6.69,LRP009,890,9.935,3.245,na,na,na,na,na,na,na,na,na
Z1040-3,LRP009,890,9.935,LRP012a,170,12.6,2.665,na,na,na,na,na,na,na,na,na
Z1040-4,LRP012a,170,12.6,LRPE,0,16.48,3.88,0,113,141,0,90,34,8,24,2140
Z1041-1,LRPS,0,0,LRP009,1786,10.604,10.604,na,na,na,na,na,na,na,na,na
Z1041-2,LRP009,1786,10.604,LRPE,0,33.592,22.988,0,24,136,2,75,48,2,24,1771
Z1042-1,LRPS,0,0,LRP024,320,23.53,23.53,3,52,118,61,0,116,26,38,2123
Z1042-2,LRP024,320,23.53,LRP037a,100,36.38,12.85,na,na,na,na,na,na,na,na,na
Z1042-3,LRP037a,100,36.38,LRPE,0,48.195,11.815,na,na,na,na,na,na,na,na,na
Z1043-1,LRPS,0,0,LRP013,655,13.684,13.684,na,na,na,na,na,na,na,na,na
Z1044-1,LRPS,0,0,LRP028,779,28.66,28.66,0,95,113,62,7,106,7,61,3006
Z1044-2,LRP028,779,28.66,LRPE,0,40.356,11.696,na,na,na,na,na,na,na,na,na
Z1045-1,LRPS,0,0,LRP005,4426,8.39,8.39,0,96,84,0,0,52,31,24,1643
Z1045-2,LRP005,4426,8.39,LRP021,1651,21.317,12.927,0,124,110,0,0,86,33,69,1969
Z1046-1,LRPS,0,0,LRP012,496,12.556,12.556,0,9,161,0,115,46,2,24,3153
Z1046-2,LRP012,496,12.556,LRPE,0,19.438,6.882,na,na,na,na,na,na,na,na,na
Z1047-1,LRPS,0,0,LRPE,0,8,8,na,na,na,na,na,na,na,na,na
Z1048-1,LRPS,0,0,LRP011,1209,12.292,12.292,0,11,44,0,0,18,4,10,890
Z1048-2,LRP011,1209,12.292,LRPE,0,31.13,18.838,na,na,na,na,na,na,na,na,na
Z1049-1,LRPS,0,0,LRP002,171,2.175,2.175,0,9,58,0,3,18,1,11,1171
Z1049-2,LRP002,171,2.175,LRP009,694,8.479,6.304,0,9,58,0,3,18,1,11,1171
Z1049-3,LRP009,694,8.479,LRP021,556,19.222,10.743,0,9,58,0,3,18,1,11,1171
Z1050-1,LRPS,0,0,LRP002,11305,13.305,13.305,0,0,48,0,0,46,76,40,1293
Z1051-1,LRPS,0,0,LRPS,1465,1.465,1.465,0,0,48,0,0,46,76,40,1293
Z1051-2,LRPS,1465,1.465,LRPS,4360,4.36,2.895,0,0,48,0,0,46,76,40,1293
Z1051-3,LRPS,4360,4.36,LRPS,10233,10.233,5.873,0,0,48,0,0,46,76,40,1293
Z1052-1,LRPS,0,0,LRP001,2990,3.49,3.49,0,202,333,72,16,241,111,230,9046
Z1052-2,LRP001,2990,3.49,LRP001,6460,6.96,3.47,na,na,na,na,na,na,na,na,na
Z1052-3,LRP001,6460,6.96,LRPE,0,23.6,16.64,na,na,na,na,na,na,na,na,na
Z1053-1,LRPS,0,0,LRP017,726,17.95,17.95,0,198,542,2,143,278,78,142,3964
Z1054-1,LRPS,0,0,LRPS,1675,1.675,1.675,0,191,235,0,0,149,0,122,1238
Z1055-1,LRPS,0,0,LRPS,1300,1.3,1.3,0,191,235,0,0,149,0,122,1238
Z1056-1,LRPS,0,0,LRPS,400,0.4,0.4,0,12,16,0,0,0,0,18,768
Z1057-1,LRPS,0,0,LRPS,5440,5.44,5.44,0,12,16,0,0,0,0,18,768
Z1059-1,LRPS,0,0,LRPS,8503,8.503,8.503,0,0,104,0,0,8,0,0,1129
Z1059-2,LRPS,8503,8.503,LRPE,0,11.204,2.701,na,na,na,na,na,na,na,na,na
Z1060-1,LRPS,0,0,LRPS,1568,1.568,1.568,0,118,141,0,0,14,9,6,1232
Z1061-1,LRPS,0,0,LRP002,2030,3.871,3.871,0,118,141,0,0,14,9,6,1232
Z1062-1,LRPS,0,0,LRP009,1588,10.58,10.58,0,8,180,0,0,281,31,224,3690
Z1062-2,LRP009,1588,10.58,LRP017,9719,26.774,16.194,na,na,na,na,na,na,na,na,na
Z1063-1,LRPS,0,0,LRP008,8973,17.004,17.004,0,24,0,0,0,25,0,11,2494
Z1064-1,LRPS,0,0,LRPS,2132,2.132,2.132,0,34,46,0,53,56,4,87,1554
Z1065-1,LRPS,0,0,LRP005,20670,25.67,25.67,17,87,74,3,0,90,17,103,2455
Z1066-1,LRPS,0,0,LRP003,2300,4.843,4.843,na,na,na,na,na,na,na,na,na
Z1066-2,LRP003,2300,4.843,LRPE,0,7.271,2.428,0,238,314,0,0,208,34,112,4730
Z1069-1,LRPS,0,0,LRP045,16507,61.699,61.699,0,52,57,0,0,51,17,36,2039
Z1070-1,LRPS,0,0,LRPS,3822,3.822,3.822,na,na,na,na,na,na,na,na,na
Z1070-2,LRPS,3822,3.822,LRPE,0,18.748,14.926,0,73,181,18,136,60,54,74,3644
Z1071-1,LRPS,0,0,LRP003,365,3.225,3.225,8,111,168,39,139,146,178,47,1182
Z1075-1,LRPS,0,0,LRPS,1912,1.912,1.912,0,0,49,0,0,307,0,0,1365
Z1076-1,LRPS,0,0,LRP012,7420,20.27,20.27,0,0,49,0,0,307,0,0,1365
Z1081-1,LRPS,0,0,LRP009,886,8.933,8.933,0,17,81,0,0,80,0,9,848
Z1081-2,LRP009,886,8.933,LRP022,889,22.075,13.142,0,0,122,0,6,8,3,204,814
Z1083-1,LRPS,0,0,LRPS,2749,2.749,2.749,0,470,389,13,221,189,94,89,3399
Z1084-1,LRPS,0,0,LRPS,11000,11,11,0,0,0,0,0,0,0,0,108
Z1086-1,LRPS,0,0,LRPE,0,22.66,22.66,na,na,na,na,na,na,na,na,na
Z1087-1,LRPS,0,0,LRPS,12485,12.485,12.485,50,249,521,47,124,552,54,181,5109
Z1088-1,LRPS,0,0,LRP004,11008,15.008,15.008,50,249,521,47,124,552,54,181,5109
Z1089-1,LRPS,0,0,LRPS,539,0.539,0.539,na,na,na,na,na,na,na,na,na
Z1089-2,LRPS,539,0.539,LRPE,0,6.702,6.163,0,76,111,0,0,67,14,155,3667
Z1095-1,LRPS,0,0,LRP019,2568,19.948,19.948,0,0,33,0,0,0,0,0,1030
Z1098-1,LRPS,0,0,LRP022,360,22.245,22.245,0,45,121,0,25,154,178,62,2167
Z1099-1,LRPS,0,0,LRP008,5420,13.7,13.7,0,35,60,0,34,223,24,40,2548
Z1101-1,LRPS,0,0,LRPS,658,0.658,0.658,0,71,108,0,0,58,0,101,909
Z1102-1,LRPS,0,0,LRP006,1100,7.165,7.165,0,150,210,0,133,339,90,588,4132
Z1121-1,LRPS,0,0,LRPS,1873,1.873,1.873,na,na,na,na,na,na,na,na,na
Z1121-2,LRPS,1873,1.873,LRPE,0,3.292,1.419,na,na,na,na,na,na,na,na,na
Z1122-1,LRPS,0,0,LRPS,508,0.508,0.508,na,na,na,na,na,na,na,na,na
Z1123-1,LRPS,0,0,LRPS,2130,2.13,2.13,na,na,na,na,na,na,na,na,na
Z1124-1,LRPS,0,0,LRP025,3027,28.027,28.027,na,na,na,na,na,na,na,na,na
Z1125-1,LRPS,0,0,LRP011,808,11.813,11.813,0,316,283,0,102,400,171,212,3275
Z1125-2,LRP011,808,11.813,LRPE,0,19.275,7.462,na,na,na,na,na,na,na,na,na
Z1126-1,LRPS,0,0,LRP010,2300,12,12,0,0,26,0,0,13,0,9,1102
Z1126-2,LRP010,2300,12,LRPE,0,18.798,6.798,na,na,na,na,na,na,na,na,na
Z1127-1,LRPS,0,0,LRP010,930,10.87,10.87,0,12,60,0,0,62,16,3,1249
Z1128-1,LRPS,0,0,LRP005,2645,7.565,7.565,0,0,37,0,0,19,32,8,1016
Z1129-1,LRPS,0,0,LRP004,150,4.4,4.4,0,0,55,0,0,24,0,8,947
Z1130-1,LRPS,0,0,LRPS,5640,5.64,5.64,0,89,166,0,134,166,48,62,1658
Z1130-2,LRPS,5640,5.64,LRP023,985,24.258,18.618,0,89,166,0,134,166,48,62,1658
Z1131-1,LRPS,0,0,LRPS,6681,6.681,6.681,0,108,99,0,0,127,111,96,2732
Z1132-1,LRPS,0,0,LRP016,2507,18.142,18.142,0,108,99,0,0,127,111,96,2732
Z1133-1,LRPS,0,0,LRP008,1538,9.608,9.608,0,15,43,0,0,63,0,0,389
Z1134-1,LRPS,0,0,LRP014,131,14.061,14.061,0,0,67,0,0,19,3,10,994
