link_no,start_location_lrp,start_location_offset,start_location_chainage,end_location_lrp,end_location_offset,end_location_chainage,length,heavy_truck_aadt,medium_truck_aadt,small_truck_aadt,large_bus_aadt,medium_bus_aadt,micro_bus_aadt,utility,car_aadt,total_motorized_aadt
R172-1,LRPS,0,0,LRP004,3995,7.955,7.955,0,68,199,0,36,269,30,15,3029
R172-2,LRP004,3995,7.955,LRP009,1960,10.905,2.95,0,68,199,0,36,269,30,15,3029
R172-3,LRP009,1960,10.905,LRP016,1350,17.27,6.365,0,68,199,0,36,269,30,15,3029
R180-1,LRPS,0,0,LRP002,582,2.687,2.687,0,259,272,20,36,293,93,262,6097
R180-2,LRP002,582,2.687,LRP004,1870,6.105,3.418,0,259,272,20,36,293,93,262,6097
R201-1,LRPS,0,0,LRPS,2195,2.195,2.195,60,2672,1569,1833,856,2184,287,2190,16169
R202-1,LRPS,0,0,LRPS,4000,4,4,0,204,155,0,127,196,53,120,3374
R202-2,LRPS,4000,4,LRP008,2082,9.846,5.846,0,204,155,0,127,196,53,120,3374
R203-1,LRPS,0,0,LRP005,4060,9.1,9.1,0,204,155,0,127,196,53,120,3374
R203-2,LRP005,4060,9.1,LRP014,4124,18.14,9.04,0,204,155,0,127,196,53,120,3374
R203-3,LRP014,4124,18.14,LRP028,142,28.552,10.412,0,204,155,0,127,196,53,120,3374
R203-4,LRP028,142,28.552,LRP028,4016,32.426,3.874,0,22,20,0,0,25,12,19,1632
R203-5,LRP028,4016,32.426,LRP050b,4215,55.337,22.911,0,22,20,0,0,25,12,19,1632
R203-6,LRP050b,4215,55.337,LRPE,0,76.197,20.86,0,22,20,0,0,25,12,19,1632
R210-1,LRPS,0,0,LRPS,1334,1.334,1.334,26,305,330,249,401,384,92,469,8264
R210-2,LRPS,1334,1.334,LRPE,0,4.99,3.656,26,305,330,249,401,384,92,469,8264
R211-1,LRPS,0,0,LRP003,817,3.75,3.75,0,460,168,165,591,149,20,160,3307
R211-2,LRP003,817,3.75,LRP005,1670,6.632,2.882,0,460,168,165,591,149,20,160,3307
R211-3,LRP005,1670,6.632,LRP007,481,7.459,0.827,0,460,168,165,591,149,20,160,3307
R211-4,LRP007,481,7.459,LRP011,648,11.662,4.203,0,460,168,165,591,149,20,160,3307
R211-5,LRP011,648,11.662,LRP014,625,14.7,3.038,0,460,168,165,591,149,20,160,3307
R211-6,LRP014,625,14.7,LRP017,56,17.137,2.437,0,417,128,175,716,136,11,41,3646
R211-7,LRP017,56,17.137,LRP019,772,19.902,2.765,0,417,128,175,716,136,11,41,3646
R211-8,LRP019,772,19.902,LRP022,781,22.981,3.079,0,417,128,175,716,136,11,41,3646
R211-9,LRP022,781,22.981,LRP025,1185,26.457,3.476,0,417,128,175,716,136,11,41,3646
R211-10,LRP025,1185,26.457,LRP035,174,34.231,7.774,0,303,161,179,323,71,12,43,2100
R211-11,LRP035,174,34.231,LRP036,205,35.265,1.034,0,303,161,179,323,71,12,43,2100
R211-12,LRP036,205,35.265,LRP044,2060,45.114,9.849,0,303,161,179,323,71,12,43,2100
R212-1,LRPS,0,0,LRP009,170,9.24,9.24,0,100,57,6,78,10,0,21,1400
R212-2,LRP009,170,9.24,LRP015,195,15.396,6.156,0,100,57,6,78,10,0,21,1400
R212-3,LRP015,195,15.396,LRP015,8208,23.409,8.013,0,100,57,6,78,10,0,21,1400
R220-1,LRPS,0,0,LRP025,27482,51.772,51.772,0,68,142,28,33,37,7,16,4052
R221-1,LRPS,0,0,LRPS,2672,2.672,2.672,0,68,142,28,33,37,7,16,4052
R221-2,LRPS,2672,2.672,LRPE,0,14.442,11.77,0,68,142,28,33,37,7,16,4052
R222-1,LRPS,0,0,LRPS,980,0.98,0.98,0,68,142,28,33,37,7,16,4052
R240-1,LRPS,0,0,LRPS,835,0.835,0.835,20,432,151,784,575,475,83,140,5592
R240-2,LRPS,835,0.835,LRPS,4988,4.988,4.153,20,432,151,784,575,475,83,140,5592
R240-3,LRPS,4988,4.988,LRPS,14420,14.42,9.432,20,432,151,784,575,475,83,140,5592
R240-4,LRPS,14420,14.42,LRPS,16800,16.8,2.38,0,112,119,0,115,190,71,261,2650
R240-5,LRPS,16800,16.8,LRPS,40286,40.286,23.486,0,112,119,0,115,190,71,261,2650
R240-6,LRPS,40286,40.286,LRP049a,1250,50.67,10.384,0,112,119,0,115,190,71,261,2650
R241-1,LRPS,0,0,LRP044,1018,45.015,45.015,0,136,175,0,190,171,27,126,1335
R247-1,LRPS,0,0,LRPE,0,1.188,1.188,2,872,412,3,348,661,157,587,5865
R248-1,LRPS,0,0,LRP001a,0,1.341,1.341,2,872,412,3,348,661,157,587,5865
R248-2,LRP001a,0,1.341,LRPE,0,4.257,2.916,2,872,412,3,348,661,157,587,5865
R249-1,LRPS,0,0,LRPS,1602,1.602,1.602,2,872,412,3,348,661,157,587,5865
R249-2,LRPS,1602,1.602,LRPE,0,1.712,0.11,2,872,412,3,348,661,157,587,5865
R250-1,LRPS,0,0,LRP007,820,7.145,7.145,2,872,412,3,348,661,157,587,5865
R250-2,LRP007,820,7.145,LRP017,446,16.641,9.496,2,872,412,3,348,661,157,587,5865
R250-3,LRP017,446,16.641,LRP032,652,31.882,15.241,2,872,412,3,348,661,157,587,5865
R250-4,LRP032,652,31.882,LRP046,782,45.982,14.1,0,135,146,0,282,247,14,90,2261
R250-5,LRP046,782,45.982,LRP090,315,89.7,43.718,0,220,267,0,173,319,31,131,2619
R251-1,LRPS,0,0,LRP006,1662,7.637,7.637,0,175,303,0,106,483,28,315,7258
R251-2,LRP006,1662,7.637,LRP011,1010,11.97,4.333,0,175,303,0,106,483,28,315,7258
R251-3,LRP011,1010,11.97,LRP011,2660,13.62,1.65,0,175,303,0,106,483,28,315,7258
R280-1,LRPS,0,0,LRPS,4920,4.92,4.92,41,699,440,179,620,687,115,248,8325
R280-2,LRPS,4920,4.92,LRP013,2085,14.84,9.92,41,699,440,179,620,687,115,248,8325
R280-3,LRP013,2085,14.84,LRP020,960,20.495,5.655,41,699,440,179,620,687,115,248,8325
R280-4,LRP020,960,20.495,LRP044,277,43.777,23.282,41,699,440,179,620,687,115,248,8325
R280-5,LRP044,277,43.777,LRP054,382,54.192,10.415,0,237,451,212,574,502,188,285,3778
R280-6,LRP054,382,54.192,LRP062,613,62.478,8.286,0,237,451,212,574,502,188,285,3778
R280-7,LRP062,613,62.478,LRP065,1327,66.442,3.964,0,237,451,212,574,502,188,285,3778
R281-1,LRPS,0,0,LRP014,1105,14.285,14.285,2,201,156,17,209,326,104,273,4190
R281-2,LRP014,1105,14.285,LRP020,313,19.468,5.183,2,201,156,17,209,326,104,273,4190
R281-3,LRP020,313,19.468,LRP032,1609,32.814,13.346,2,201,156,17,209,326,104,273,4190
R281-4,LRP032,1609,32.814,LRP065,1650,65.475,32.661,1,119,110,13,63,317,3,208,3228
R281-5,LRP065,1650,65.475,LRP074,2990,75.755,10.28,1,119,110,13,63,317,3,208,3228
R281-6,LRP074,2990,75.755,LRP083,1291,82.871,7.116,1,119,110,13,63,317,3,208,3228
R282-1,LRPS,0,0,LRPS,601,0.601,0.601,0,47,115,0,66,148,63,121,2357
R282-2,LRPS,601,0.601,LRP006,10722,16.722,16.121,0,47,115,0,66,148,63,121,2357
R283-1,LRPS,0,0,LRP007,600,6.625,6.625,73,962,448,168,0,212,73,209,3032
R301-1,LRPS,0,0,LRP005,1898,6.946,6.946,250,1852,1710,1188,573,1581,219,2013,12936
R301-2,LRP005,1898,6.946,LRP015,1550,16.655,9.709,250,1852,1710,1188,573,1581,219,2013,12936
R301-3,LRP015,1550,16.655,LRP015,2142,17.247,0.592,118,1674,1253,926,408,1155,141,860,9343
R301-4,LRP015,2142,17.247,LRP018,82,18.22,0.973,118,1674,1253,926,408,1155,141,860,9343
R301-5,LRP018,82,18.22,LRP022,2777,24.93,6.71,118,1674,1253,926,408,1155,141,860,9343
R301-6,LRP022,2777,24.93,LRP022,4636,26.789,1.859,118,1674,1253,926,408,1155,141,860,9343
R301-7,LRP022,4636,26.789,LRP031,88,31.208,4.419,118,1674,1253,926,408,1155,141,860,9343
R301-8,LRP031,88,31.208,LRP031,1917,33.037,1.829,118,1674,1253,926,408,1155,141,860,9343
R302-1,LRPS,0,0,LRP006,1632,7.475,7.475,0,572,504,0,708,392,215,265,4758
R303-1,LRPS,0,0,LRP001,401,1.401,1.401,233,4534,4752,370,607,3449,266,3613,20203
R310-1,LRPS,0,0,LRP002,284,2.401,2.401,3,1379,1605,1446,1970,2353,890,1438,14729
R310-2,LRP002,284,2.401,LRP003,591,3.73,1.329,3,1379,1605,1446,1970,2353,890,1438,14729
R310-3,LRP003,591,3.73,LRP003,18645,21.784,18.054,0,47,53,0,0,46,19,41,1936
R310-4,LRP003,18645,21.784,LRP027,1002,28.141,6.357,0,47,53,0,0,46,19,41,1936
R310-5,LRP027,1002,28.141,LRPE,0,37.339,9.198,0,47,53,0,0,46,19,41,1936
R311-1,LRPS,0,0,LRP005,501,4.561,4.561,0,226,343,170,897,580,53,591,5693
R312-1,LRPS,0,0,LRP017,180,17.281,17.281,31,672,518,525,388,838,240,394,5275
R312-2,LRP017,180,17.281,LRP017,328,17.429,0.148,31,672,518,525,388,838,240,394,5275
R312-3,LRP017,328,17.429,LRP018,398,18.515,1.086,31,672,518,525,388,838,240,394,5275
R312-4,LRP018,398,18.515,LRP035,5962,41.228,22.713,5,150,151,260,252,206,99,149,2200
R312-5,LRP035,5962,41.228,LRP042,983,43.028,1.8,5,150,151,260,252,206,99,149,2200
R313-1,LRPS,0,0,LRP006,562,6.593,6.593,0,75,152,0,98,57,6,49,1069
R313-2,LRP006,562,6.593,LRP024,128,23.032,16.439,0,75,152,0,98,57,6,49,1069
R313-3,LRP024,128,23.032,LRP025,411,24.109,1.077,0,75,152,0,98,57,6,49,1069
R313-4,LRP025,411,24.109,LRP042,3314,42.352,18.243,0,75,152,0,98,57,6,49,1069
R314-1,LRPS,0,0,LRP042,2002,43.41,43.41,1,378,226,158,35,47,6,35,1813
R315-1,LRPS,0,0,LRP003,600,2.853,2.853,0,242,201,0,53,142,51,94,2128
R315-2,LRP003,600,2.853,LRP025,7403,31.355,28.502,0,242,201,0,53,142,51,94,2128
R315-3,LRP025,7403,31.355,LRP049,4050,51.985,20.63,1,81,107,9,10,455,93,316,4216
R316-1,LRPS,0,0,LRPS,600,0.6,0.6,0,242,201,0,53,142,51,94,2128
R317-1,LRPS,0,0,LRPS,1000,1,1,1,81,107,9,10,455,93,316,4216
R360-1,LRPS,0,0,LRPS,6733,6.733,6.733,0,771,522,456,170,221,139,246,6454
R360-2,LRPS,6733,6.733,LRP018,388,18.437,11.704,0,771,522,456,170,221,139,246,6454
R360-3,LRP018,388,18.437,LRP032,797,32.982,14.545,0,771,522,456,170,221,139,246,6454
R360-4,LRP032,797,32.982,LRP046,802,47.075,14.093,0,427,200,388,83,84,56,109,2824
R360-5,LRP046,802,47.075,LRP059,595,59.872,12.797,0,427,200,388,83,84,56,109,2824
R360-6,LRP059,595,59.872,LRP065,158,65.067,5.195,0,427,200,388,83,84,56,109,2824
R360-7,LRP065,158,65.067,LRP068,445,68.375,3.308,0,427,200,388,83,84,56,109,2824
R360-8,LRP068,445,68.375,LRP086,282,86.451,18.076,0,427,200,388,83,84,56,109,2824
R360-9,LRP086,282,86.451,LRP089,641,89.826,3.375,0,427,200,388,83,84,56,109,2824
R360-10,LRP089,641,89.826,LRP097,705,97.863,8.037,0,427,200,388,83,84,56,109,2824
R360-11,LRP097,705,97.863,LRP101,170,101.328,3.465,0,427,200,388,83,84,56,109,2824
R360-12,LRP101,170,101.328,LRP113,826,114.167,12.839,0,427,200,388,83,84,56,109,2824
R360-13,LRP113,826,114.167,LRP114,2032,116.385,2.218,0,427,200,388,83,84,56,109,2824
R364-1,LRPS,0,0,LRPE,0,3.034,3.034,0,771,522,456,170,221,139,246,6454
R370-1,LRPS,0,0,LRP006,1033,6.102,6.102,0,883,581,568,1,395,459,617,10522
R370-2,LRP006,1033,6.102,LRP006,1384,6.453,0.351,0,883,581,568,1,395,459,617,10522
R370-3,LRP006,1384,6.453,LRP023,141,22.371,15.918,0,834,214,372,32,91,35,66,2990
R370-4,LRP023,141,22.371,LRP039,1369,39.741,17.37,0,883,581,568,1,395,459,617,10522
R370-5,LRP039,1369,39.741,LRP039,2668,41.04,1.299,0,883,581,568,1,395,459,617,10522
R370-6,LRP039,2668,41.04,LRP039,4050,42.422,1.382,0,834,214,372,32,91,35,66,2990
R370-7,LRP039,4050,42.422,LRP051,1484,51.942,9.52,0,834,214,372,32,91,35,66,2990
R370-8,LRP051,1484,51.942,LRP064,11738,75.233,23.291,0,834,214,372,32,91,35,66,2990
R370-9,LRP064,11738,75.233,LRP081,38564,118.38,43.147,0,834,214,372,32,91,35,66,2990
R370-10,LRP081,38564,118.38,LRP081,51184,131,12.62,0,834,214,372,32,91,35,66,2990
R371-1,LRPS,0,0,LRP024,1016,24.276,24.276,0,583,259,571,93,279,89,195,5474
R371-2,LRP024,1016,24.276,LRP045,560,44.33,20.054,0,583,259,571,93,279,89,195,5474
R371-3,LRP045,560,44.33,LRP060,340,59.12,14.79,0,337,121,284,0,95,65,72,3400
R371-4,LRP060,340,59.12,LRPE,0,65.17,6.05,0,337,121,284,0,95,65,72,3400
R372-1,LRPS,0,0,LRPE,0,1.92,1.92,0,583,259,571,93,279,89,195,5474
R450-1,LRPS,0,0,LRP007,2870,8.99,8.99,11,669,508,63,280,314,152,188,5451
R451-1,LRPS,0,0,LRPS,10845,10.845,10.845,11,669,508,63,280,314,152,188,5451
R451-2,LRPS,10845,10.845,LRPS,12800,12.8,1.955,11,669,508,63,280,314,152,188,5451
R451-3L,LRPS,12800,12.8,LRPS,13378,13.378,0.578,11,669,508,63,280,314,152,188,5451
R451-3R,LRPS,12800,12.8,LRPS,13378,13.378,0.578,11,669,508,63,280,314,152,188,5451
R451-4,LRPS,13378,13.378,LRPE,0,14.44,1.062,11,669,508,63,280,314,152,188,5451
R460-1,LRPS,0,0,LRP007,163,7.543,7.543,0,395,123,66,70,75,127,62,4602
R460-2,LRP007,163,7.543,LRP014,165,14.6,7.057,0,395,123,66,70,75,127,62,4602
R460-3,LRP014,165,14.6,LRP018,344,18.895,4.295,0,259,264,17,78,174,68,41,3595
R460-4,LRP018,344,18.895,LRP028,297,29.107,10.212,0,259,264,17,78,174,68,41,3595
R460-5,LRP028,297,29.107,LRP032,343,32.875,3.768,0,259,264,17,78,174,68,41,3595
