,Start date,End date,Country name,ISO,Location,Disaster type,Disaster subtype,Associated dis.,Associated dis2.,Total deaths,Total affected,Total damage,Insured loss,Disaster ID
211,25/05/2005,28/05/2005,Bangladesh,BGD,"Maulvibazar, Habiganj districts (Sylhet province)",Flood,Flash flood,Broken Dam/Burst ban,--,13,50000,--,--,2005-0261
212,14/05/2005,14/05/2005.1,Bangladesh,BGD,Pabna district (Rajshahi province),Storm,--,--,--,2,100,--,--,2005-0273
213,06/05/2005,06/05/2005.1,Bangladesh,BGD,"Rangpur, Dinadjpur districts (Rangpur province)",Storm,--,--,--,11,1500,--,--,2005-0282
214,07/07/2005,27/07/2005,Bangladesh,BGD,"Kurigram, Gaibandha, Lalmonirhat, Rangpur, Nilphamari districts (Rangpur province), Sherpur, Jamalpur, Dhaka, Narayanganj, Munshiganj, Madaripur, districts (Dhaka province), Sirajganj, Bogra districts (Rajshahi province)",Flood,Riverine flood,--,--,23,1000000,--,--,2005-0375
215,30/06/2005,30/06/2005.1,Bangladesh,BGD,Cox's Bazar district (Chittagong province),Storm,--,--,--,35,--,--,--,2005-0391
216,20/09/2005,20/09/2005.1,Bangladesh,BGD,"Barisal, Chittagong, Khulna provinces",Storm,--,--,--,16,12000,--,--,2005-0537
217,03/10/2005,20/10/2005,Bangladesh,BGD,"Naogaon, Joypurhat district (Rajshahi province), Gaibandha, Rangpur, Nilphamari, Dinajpur districts (Rangpur province)",Flood,Flash flood,--,--,19,100000,--,--,2005-0590
218,04/03/2006,04/03/2006.1,Bangladesh,BGD,"Bagerhat, Khulna districts (Khulna province)",Storm,Convective storm,--,--,4,5899,--,--,2006-0146
219,31/05/2006,24/07/2006,Bangladesh,BGD,"Khagrachhari district (Chittagong province), Sylhet province",Flood,Riverine flood,--,--,--,76000,--,--,2006-0262
220,24/08/2006,20/09/2006,Bangladesh,BGD,"Jessore, Khulna, Satkhira districts (Khulna province)",Flood,Riverine flood,--,--,--,135775,--,--,2006-0502
221,18/09/2006,05/10/2006,Bangladesh,BGD,"Hatiya area (Noakhali district, Chittagong province), Bagerhat district (Khulna province), Patuakhali, Barguna districts (Barisal province)",Storm,Tropical cyclone,Flood,--,115,9135,--,--,2006-0510
222,05/04/2006,06/04/2006,Bangladesh,BGD,Dhaka province,Storm,Tropical cyclone,--,--,9,1465,--,--,2006-0737
223,08/04/2006,08/04/2006.1,Bangladesh,BGD,"Tangail district (Dhaka province), Sirajganj district (Rajshahi province)",Storm,Tropical cyclone,Flood,--,22,1500,--,--,2006-0738
224,22/04/2006,24/04/2006,Bangladesh,BGD,"Rajshahi, Khulna provinces",Storm,--,Hail,--,4,150,--,--,2006-0739
225,11/06/2007,12/06/2007,Bangladesh,BGD,Chittagong district (Chittagong province),Flood,Riverine flood,"Slide (land, mud, sn",--,120,80060,14000,--,2007-0161
226,15/05/2007,15/05/2007.1,Bangladesh,BGD,"Cox's Bazar, Chittagong districts (Chittagong province)",Storm,Tropical cyclone,--,--,41,225,--,--,2007-0227
227,21/07/2007,03/08/2007,Bangladesh,BGD,"Goalanda village (Goalandaghat area, Rajbari district, Dhaka province), Aricha port (Shibalaya area, Manikganj district, Dhaka province), Bhagyakul village (Sreenagar area, Munshiganj district, Dhaka province), Bandarban, Feni, Comilla districts (Chittagong province), Sirajganj district (Rajshahi province), Rangpur province",Flood,Riverine flood,"Slide (land, mud, sn",--,1110,13771380,100000,--,2007-0311
228,15/11/2007,19/11/2007,Bangladesh,BGD,"Bagerhat, Khulna, Satkhira districts (Khulna province), Patuakhali, Barguna, Pirojpur, Barisal, Jhalokati, Bhola districts (Barisal province), Madaripur, Gopalganj, Shariatpur districts (Dhaka province)",Storm,Tropical cyclone,Flood,--,4234,8978541,2300000,--,2007-0556
229,26/06/2008,13/07/2008,Bangladesh,BGD,"Cox's Bazar, Chittagong districts (Chittagong province)",Flood,Riverine flood,"Slide (land, mud, sn",--,16,20002,--,--,2008-0285
230,30/08/2008,08/09/2008,Bangladesh,BGD,"Bogra, Sirajganj districts (Rajshahi province)",Flood,Riverine flood,--,--,12,615638,--,--,2008-0385
231,16/08/2008,16/08/2008.1,Bangladesh,BGD,"Chittagong city (Chittagong district, Chittagong province)",Landslide,Landslide.1,--,--,13,50,--,--,2008-0568
232,22/03/2008,22/03/2008.1,Bangladesh,BGD,"Jamalpur, Mymensingh, Netrakona, Sherpur districts (Dhaka province), Bogra district (Rajshahi province), Gaibandha, Kurigram districts (Rangpur province), Sunamganj, Sylhet provinces (Sylhet province)",Storm,Tropical cyclone,--,--,12,200,--,--,2008-0644
233,27/10/2008,27/10/2008.1,Bangladesh,BGD,"Barisal, Patuakhali districts (Barisal province)",Storm,Tropical cyclone,Flood,--,15,200,--,--,2008-0648
234,19/04/2009,20/04/2009,Bangladesh,BGD,"Banshkhali, Anowara, Sitakunda, Mirsaharai, Sandwip, Patiya, Boalkhali, Satkania, Chandanaish, City Corportaion of Chittagong (CCC) areas (Chittagong district, Chittagong province), Sadar, Ramu, Chakaria, Pekua, Maheshkhali, Kutubdia areas (Cox's Bazar district, Chittagong province), Hatiya area (Noakhali district, Chittagong province), Charfashion area (Bhola district, Barisal province), Pirganj area (Thakurgao district, Rangpur province)",Storm,Tropical cyclone,--,--,7,19209,--,--,2009-0157
235,25/05/2009,26/05/2009,Bangladesh,BGD,"Khulna, Satkhira, Jessore, Bagerhat districts (Khulna province), Patuakhali, Bhola, Barisal, Barguna, Pirojpur, Jhalokati districts (Barisal province), Lakshmipur, Chittagong, Noakhali, Cox's Bazar, Feni, Chandpur districts (Chittagong province)",Storm,Tropical cyclone,Broken Dam/Burst ban,Tsunami/Tidal wave,190,3935341,270000,--,2009-0204
236,03/07/2009,06/07/2009,Bangladesh,BGD,Habiganj district (Sylhet province),Flood,Riverine flood,"Slide (land, mud, sn",--,6,500000,--,--,2009-0294
237,29/07/2009,29/07/2009.1,Bangladesh,BGD,"Comilla, Chittagong districts (Chittagong province), Dhaka, Rajshahi, Barisal, Khulna, Sylhet provinces",Flood,Riverine flood,--,--,10,--,--,--,2009-0304
238,13/04/2010,14/04/2010,Bangladesh,BGD,"Rangpur, Dinajpur, Nilphamari, Lalmonirhat, Kurigram, Gaibandha districts (Rangpur province), Sirajganj, Bogra districts (Rajshahi province)",Storm,Tropical cyclone,--,--,8,247110,--,--,2010-0171
239,17/04/2010,17/04/2010.1,Bangladesh,BGD,Lalmonirhat district (Rangpur province),Storm,Tropical cyclone,--,--,3,10000,--,--,2010-0205
240,14/06/2010,15/06/2010,Bangladesh,BGD,"Cox's Bazar, Bandarban districts (Chittagong province)",Landslide,Landslide.1,--,--,66,55230,--,--,2010-0231
241,24/06/2010,24/06/2010.1,Bangladesh,BGD,"Netrakona district (Dhaka province), Kurigram, Gaibandha, Lalmonirhat districts (Rangpur province), Sylhet province",Flood,Flash flood,--,--,--,75000,--,--,2010-0269
