road,lrp1,lrp2,name,gap,newspeed
N1,N1_LRP135,N1_LRP136,N1_LRP135-N1_LRP136,ROAD,70
N1,N1_LRP136,N1_LRP136a,N1_LRP136-N1_LRP136a,ROAD,70
N1,N1_LRP136a,N1_LRP136b,N1_LRP136a-N1_LRP136b,ROAD,70
N1,N1_LRP136b,N1_LRP137,N1_LRP136b-N1_LRP137,ROAD,70
N1,N1_LRP137,N1_LRP137a,N1_LRP137-N1_LRP137a,ROAD,70
N1,N1_LRP137a,N1_LRP137b,N1_LRP137a-N1_LRP137b,ROAD,70
N1,N1_LRP137b,N1_LRP138,N1_LRP137b-N1_LRP138,ROAD,70
N1,N1_LRP138,N1_LRP138a,N1_LRP138-N1_LRP138a,ROAD,70
N1,N1_LRP138a,N1_LRP139,N1_LRP138a-N1_LRP139,ROAD,70
N1,N1_LRP139,N1_LRP139a,N1_LRP139-N1_LRP139a,ROAD,70
N1,N1_LRP139a,N1_LRP139b,N1_LRP139a-N1_LRP139b,ROAD,70
N1,N1_LRP139b,N1_LRP139c,N1_LRP139b-N1_LRP139c,BRIDGE,70
N1,N1_LRP139c,N1_LRP140,N1_LRP139c-N1_LRP140,ROAD,70
N1,N1_LRP140,N1_LRP140a,N1_LRP140-N1_LRP140a,ROAD,70
N1,N1_LRP140a,N1_LRP141,N1_LRP140a-N1_LRP141,ROAD,70
N1,N1_LRP141,N1_LRP141a,N1_LRP141-N1_LRP141a,ROAD,70
N1,N1_LRP141a,N1_LRP141b,N1_LRP141a-N1_LRP141b,ROAD,70
N1,N1_LRP141b,N1_LRP142,N1_LRP141b-N1_LRP142,ROAD,70
N1,N1_LRP142,N1_LRP142a,N1_LRP142-N1_LRP142a,ROAD,70
N1,N1_LRP142a,N1_LRP143,N1_LRP142a-N1_LRP143,ROAD,70
N1,N1_LRP143,N1_LRP143a,N1_LRP143-N1_LRP143a,ROAD,70
N1,N1_LRP143a,N1_LRP144,N1_LRP143a-N1_LRP144,ROAD,70
N1,N1_LRP144,N1_LRP144a,N1_LRP144-N1_LRP144a,ROAD,70
N1,N1_LRP144a,N1_LRP144b,N1_LRP144a-N1_LRP144b,ROAD,70
N1,N1_LRP144b,N1_LRP145,N1_LRP144b-N1_LRP145,ROAD,70
N1,N1_LRP145,N1_LRP145a,N1_LRP145-N1_LRP145a,ROAD,70
N1,N1_LRP145a,N1_LRP146,N1_LRP145a-N1_LRP146,ROAD,70
N1,N1_LRP146,N1_LRP146a,N1_LRP146-N1_LRP146a,ROAD,70
N1,N1_LRP146a,N1_LRP147,N1_LRP146a-N1_LRP147,ROAD,70
