road,chainage,newcat,new,oldcat,comment
N1,8.976,B,,C,KANCHPUR PC GIRDER BRIDGE
N1,10.543,A,,B,KATCHPUR BOX CULVERT
N1,11.808,A,,B,NAYABARI BOX CULVERT
N1,15.465,A,,B,MALIBAG BOX CULVERT
N1,17.134,B,,C,Langalbandh Bridge.
N1,17.134,A,,B,LANGOLBANDO PC GIDER BRIDGE
N1,17.722,A,,B,DARIKANDI BRIDGE (R)
N1,17.722,A,,B,DARIKANDI BRIDGE (L)
N1,18.093,A,,B,SONARKALI BRIDGE(L)
N1,18.093,A,,B,Sonakhal Bridge(R)
N1,18.093,A,,B,SONARKALI BRIDGE(R)
N1,18.742,B,,C,MOLLIK PARA BRIDGE (R)
N1,18.742,A,,B,MOLLIK PARA P.C(L)
N1,18.742,A,,B,Mollik para Bridge(R)
N1,18.742,A,,B,Mollik para Bridge(L)
N1,20.397,A,,B,SHADIPUR BOX CULVERT
N1,22.328,A,,B,SANGAKADI CULVERT
N1,22.596,A,,B,ASHIR CHAR ( Left)
N1,22.596,A,,B,Ashariarchar Bridge(L)
N1,22.596,A,,B,Ashariarchar Bridge(R)
N1,23.081,A,,B,ASHIR CHAR (R)
N1,24.393,B,,C,MEGHNA BRIDGE
N1,30.908,A,,B,ALIPURA BRIDGE (LEFT)
N1,34.111,B,,C,BOCTAR KANDI BOX CULVERT
N1,35.408,A,,B,BORAKANDI BRIDGE(L)
N1,35.408,A,,B,CHAR BOWSHIA BRIDGE(R)
N1,37.01,B,,C,Daud Kandi Bridge
N1,39.304,B,,C,Baldhakhal Bridge
N1,39.304,B,,C,BALDHA KHAL RCC GIDER BRIDGE
N1,39.86,A,,B,MAIS PARA BOX CULVERT
N1,42.936,B,,C,SHAHID NAGIR
N1,42.936,B,,C,Shahid Nagor Bridge
N1,45.164,B,,C,SARKAR BARI CULVERT
N1,46.871,B,,C,AMIRABATH SLAB CULVERT
N1,48.384,B,,C,Ginlatoly
N1,52.313,B,,C,AITAL BANGA BOX CULVERT
N1,56.006,B,,C,Illiot bazar Bridge
N1,56.006,A,,B,ILLIOT BAZER
N1,58.838,A,,B,KHAT GHOR BOX CULVERT
N1,60.83,A,,B,BAKRA BOX CULVERT
N1,63.098,A,,B,MATIA BAZER
N1,66.178,A,,B,KARON KHAL SLAB CULVERT
N1,71.156,B,,C,CHANDINA- SHAHA PARA RCC GIDER GRIDGE
N1,71.156,B,,C,Chandinan-Shahapara Bridge.
N1,74.279,A,,B,CORI PAI BOX CULVERT
N1,75.312,A,,B,COREPAI BOX CULVERT
N1,78.382,B,,C,KABILA DUBARCHAR SLAB CULVERT
N1,80.949,A,,B,NAZIRA BOX CULVERT
N1,87.713,B,,C,Dhanpur Bridge
N1,91.092,B,,C,Paduar Bazar Bridge
N1,91.092,A,,B,PADUAR BAZER RCCGIDER
N1,93.6,B,,C,Mostapur Bridge
N1,93.6,A,,B,MOSTAPUR RCC GIDER BRIDGE
N1,97.257,B,,C,Matigara Bridge
N1,103.456,B,,C,LAL BAG RCC GIDER BRIDGE
N1,103.456,B,,C,Lalbag Bridge.
N1,109.289,A,,B,DOLL BARI CULVERT
N1,109.897,A,,B,DHARMA PUR SLAB CULVERT
N1,112.469,A,,B,BOWCHI BAZAR CULVERT
N1,113.717,A,,B,AMAN GONG SLAB CULVERT
N1,115.052,A,,B,RANGAMATIA (1) BOX CULVERT
N1,115.326,A,,B,RANGOWATIA 2 CULVERT
N1,115.525,A,,B,NOWA PARA BOX CULVERT
N1,116.074,A,,B,HARISHARDE CULVERT
N1,117.087,A,,B,SONAGATI BOX CULVERT
N1,117.269,A,,B,BALUJURI BOX CULVERT
N1,118.856,A,,B,KALIA BAZER BOC CULVERT
N1,119.19,A,,B,CHAUDDAGARAM BOX CULVERT
N1,120.634,A,,B,HAYDAR POLE BOX CULVERT
N1,123.681,B,,C,BOSONTA PUR BOX CULVERT
N1,124.346,A,,B,BASHONTA PUR (2)
N1,125.41,A,,B,NANKORA BOX CULVERT
N1,127.673,A,,B,DIMATOLI (1) BOX CULVERT
N1,128.767,A,,B,DIMATOLY (2) BOX CULVERT
N1,129.291,A,,B,JAGARNATHPUR BOX CULVERT
N1,129.955,A,,B,JAGOT PUR BOX CULVERT
N1,131.577,A,,B,FOKIR BAZAR SLAB CULVERT
N1,132.079,A,,B,KAKKARA CULVERT
N1,133.873,A,,B,CHANGARPULL(II) BOX CULVERT
N1,134.426,A,,B,ADONCORA
N1,135.723,A,,B,FOEALTPARA BOX CULVERT
N1,136.899,A,,B,KOKALI BOX CULVERT
N1,137.856,A,,B,DUTHOSHA BOX CULVERT
N1,138.953,A,,B,MOHAMMAD ALI MAZAR
N1,148.151,A,,B,Rampur Bridge(L)
N1,153.843,B,,C,Lemua Bridge(L)
N1,153.843,A,,B,LAMUA BRIDGE
N1,160.379,A,,B,MUHURI BRIDGE
N1,160.379,A,,B,Muhuri Bridge(L)
N1,165.183,A,,B,DHOOM GHAT PC GIRDER
N1,175.785,B,,C,PURPU DURGAPURE BOX CUL
N1,177.247,A,,B,MUCHIPOOL CULVERT
N1,180.85,A,,B,MIRAISORI BRIDGE
N1,185.842,A,,B,BOTHAGIA (-3) BOX CULVERT
N1,189.58,B,,C,ISAMATI BOX CULVERT
N1,200.575,A,,B,UTTOR SITAKONDO BAZAR BOX CULVERT
N1,203.651,A,,B,KALIAVA BOX CULVERT
N1,204.342,A,,B,SKM BOX CULVERT(1)
N1,205.615,B,,C,BAROCONDO BRIDGE
N1,209.514,A,,B,BARSH BARIA BRIDGE
N1,213.386,A,,B,KYSTELGATE ARCH
N1,214.807,B,,C,BORO KUMIRA BRIDGE
N1,217.377,A,,B,GORA MARI BOX CULVERT
N1,218.441,A,,B,MUDDO SONAISORI BRIDGE
N1,218.441,B,,D,Baro Aulia
N1,220.725,A,,B,SHLAKHAR PAD BRIDGE
N1,220.725,B,,D,Modonhat Bridge
N1,222.687,B,,C,SALAKHARPAD BRIDGE
N1,225.702,A,,B,DHAMAKHALI BRIDGE
N1,242.016,B,,C,BOALIA BOX CULVERT
N1,242.898,A,,B,BAKULIA BRIDGE
N1,244.367,A,,B,HAFAS BAGAR BRIDGE
N1,244.367,B,,C,5 No hafez bazar Bridge
N1,244.856,A,,B,RAZAKATI BRIDGE
N1,244.856,B,,C,Tulatuli Bridge
N1,244.975,B,,C,Rajakhali Bridge
