road,chainage,newcat,new,oldcat,comment
N1,246.02,B,,C,Hajrath Sha Amanath Satu
N1,247.637,B,,C,SHIKALBAHA BRIDGE
N1,248.499,B,,C,SHIKALBAHA
N1,249.348,A,,B,SHIKALBAHA BOX CULVERT
N1,251.538,B,,C,SHIKALBAHA BRIDGE
N1,252.506,A,,B,SHANTERHAT CULVERT
N1,253.777,A,,B,SHANTERHAT BOX CULVERT
N1,255.505,A,,B,MUNSHA BOX CULVERT(L)
N1,262.116,A,,B,Patiya Bridge
N1,262.116,B,,C,PATIYA BRIDGE
N1,265.483,A,,B,Srimi Bridge
