road,lrp1,lrp2,name,gap,newspeed
N4,N4_LRPS,N4_LRP001,N4_LRPS-N4_LRP001,ROAD,70
N4,N4_LRP001,N4_LRP002,N4_LRP001-N4_LRP002,ROAD,70
N4,N4_LRP002,N4_LRP003,N4_LRP002-N4_LRP003,ROAD,70
N4,N4_LRP003,N4_LRP003a,N4_LRP003-N4_LRP003a,ROAD,70
N4,N4_LRP003a,N4_LRP003b,N4_LRP003a-N4_LRP003b,BRIDGE,70
N4,N4_LRP003b,N4_LRP004,N4_LRP003b-N4_LRP004,ROAD,70
N4,N4_LRP004,N4_LRP004a,N4_LRP004-N4_LRP004a,ROAD,70
N4,N4_LRP004a,N4_LRP004b,N4_LRP004a-N4_LRP004b,BRIDGE,70
N4,N4_LRP004b,N4_LRP005,N4_LRP004b-N4_LRP005,ROAD,70
N4,N4_LRP005,N4_LRP005a,N4_LRP005-N4_LRP005a,ROAD,70
N4,N4_LRP005a,N4_LRP005b,N4_LRP005a-N4_LRP005b,BRIDGE,70
N4,N4_LRP005b,N4_LRP006,N4_LRP005b-N4_LRP006,ROAD,70
N4,N4_LRP006,N4_LRP007,N4_LRP006-N4_LRP007,ROAD,70
N4,N4_LRP007,N4_LRP008,N4_LRP007-N4_LRP008,ROAD,70
N4,N4_LRP008,N4_LRP009,N4_LRP008-N4_LRP009,ROAD,70
N4,N4_LRP009,N4_LRP009a,N4_LRP009-N4_LRP009a,ROAD,70
N4,N4_LRP009a,N4_LRP010,N4_LRP009a-N4_LRP010,ROAD,70
N4,N4_LRP010,N4_LRP011,N4_LRP010-N4_LRP011,ROAD,70
N4,N4_LRP011,N4_LRP012,N4_LRP011-N4_LRP012,ROAD,70
N4,N4_LRP012,N4_LRP012a,N4_LRP012-N4_LRP012a,ROAD,70
N4,N4_LRP012a,N4_LRP013,N4_LRP012a-N4_LRP013,ROAD,70
N4,N4_LRP013,N4_LRP013a,N4_LRP013-N4_LRP013a,ROAD,70
N4,N4_LRP013a,N4_LRP014,N4_LRP013a-N4_LRP014,ROAD,70
N4,N4_LRP014,N4_LRP014a,N4_LRP014-N4_LRP014a,ROAD,70
N4,N4_LRP014a,N4_LRP015,N4_LRP014a-N4_LRP015,ROAD,70
N4,N4_LRP015,N4_LRP016,N4_LRP015-N4_LRP016,ROAD,70
N4,N4_LRP016,N4_LRP016a,N4_LRP016-N4_LRP016a,ROAD,70
N4,N4_LRP016a,N4_LRP017,N4_LRP016a-N4_LRP017,ROAD,70
N4,N4_LRP017,N4_LRP017a,N4_LRP017-N4_LRP017a,ROAD,70
N4,N4_LRP017a,N4_LRP017b,N4_LRP017a-N4_LRP017b,ROAD,70
N4,N4_LRP017b,N4_LRP017c,N4_LRP017b-N4_LRP017c,ROAD,70
N4,N4_LRP017c,N4_LRP018,N4_LRP017c-N4_LRP018,ROAD,70
N4,N4_LRP018,N4_LRP019,N4_LRP018-N4_LRP019,ROAD,70
N4,N4_LRP019,N4_LRP019a,N4_LRP019-N4_LRP019a,ROAD,70
N4,N4_LRP019a,N4_LRP019b,N4_LRP019a-N4_LRP019b,ROAD,70
N4,N4_LRP019b,N4_LRP020a,N4_LRP019b-N4_LRP020a,BRIDGE,70
N4,N4_LRP020a,N4_LRP021,N4_LRP020a-N4_LRP021,ROAD,70
N4,N4_LRP021,N4_LRP022,N4_LRP021-N4_LRP022,ROAD,70
N4,N4_LRP022,N4_LRP022a,N4_LRP022-N4_LRP022a,ROAD,70
N4,N4_LRP022a,N4_LRP022b,N4_LRP022a-N4_LRP022b,ROAD,70
N4,N4_LRP022b,N4_LRP022c,N4_LRP022b-N4_LRP022c,BRIDGE,70
N4,N4_LRP022c,N4_LRP023,N4_LRP022c-N4_LRP023,ROAD,70
N4,N4_LRP023,N4_LRP023a,N4_LRP023-N4_LRP023a,ROAD,70
N4,N4_LRP023a,N4_LRP023b,N4_LRP023a-N4_LRP023b,ROAD,70
