road,chainage,newcat,new,oldcat,comment
R504,1.594,A,,B,RESIPARA CULVERT
R504,3.165,A,,B,SHAHID RAFIQ BRIDGE
R504,4.245,B,,C,STAND BRIDGE
R504,4.395,B,,C,DHALLA CULVERT
R504,5.352,B,,D,BASTU CULVERT
R504,6.354,B,,D,gazinda
R504,6.765,A,,B,MEDULIA DUBOL BRIDGE
R504,7.313,B,,D,MEDULIA BRIDGE
R504,7.339,A,,B,Jaigir Bridge
R504,7.982,A,,B,Bhum Dokhin Bridge
R504,7.982,B,,C,BOMDOKHAM BAILEY WITH STEEL DECK
R504,8.717,A,,B,Gola kata Bridge
R504,8.717,B,,C,BAKKON BRALAKAT BAILEY WITH STEEL DECK
R504,9.145,A,,B,Aynal Bridge
R504,9.145,B,,D,AYNAL BRIDGE
R504,11.215,B,,D,MORILKUY BAILEY WITH STEEL DECK
R504,12.844,B,,D,Azimpur Bridge
R504,12.844,B,,D,ANJIM PUR BRIDGE
R504,15.861,A,,B,Binod Ronpur Bridge
R504,15.861,B,,C,BINODRONPUR TRAS BEAM
R504,16.639,B,,C,KASHEMNAGAR BRIDGE
R504,17.476,B,,C,KULA PARA BAILEY WITH STEEL DECK
R504,18.153,B,,C,Baimail Bridge
R504,18.153,B,,D,SHONAKHALI BRIDGE
R504,18.789,B,,D,BYMAIL BUS STAND BRIDGE
R504,19.651,B,,D,Garadia Bridge
R504,19.651,B,,D,SHIBPUR RCC GIDER BRIDGE
R504,20.239,B,,C,BAIRA STAND BOX CULVERT
R504,20.431,B,,D,BALRA BAZAR RCC GIDER BRIDGE
R504,20.934,B,,D,broha
R504,21.114,B,,D,KASAMNAGAR BRIDGE
R504,23.271,B,,C,AOWRANGABAD BRIDGE
R504,24.23,B,,C,MITRA BRIDGE
R504,24.509,B,,C,MITRA RCC GIDER BRIDGE
R504,24.773,B,,C,MITRA RCC GIDER BRIDGE
R504,31.098,B,,C,WEST DASARA BRIDGE
R504,32.525,A,,B,Khal par Bridge
R504,32.525,B,,C,KHAIPARA RCC GIDER BRIDGE
R504,33.013,A,,B,Wireless Gate Bridge
R504,33.013,B,,C,ORLESS GATE RCC GIDER BRIDGE
R504,33.23,B,,C,MANIKGONJ BOX CULVERT
