road,lrp1,lrp2,name,gap,newspeed
R504,R504_LRPS,R504_LRP001,R504_LRPS-R504_LRP001,ROAD,45
R504,R504_LRP001,R504_LRP001a,R504_LRP001-R504_LRP001a,ROAD,45
R504,R504_LRP001a,R504_LRP001b,R504_LRP001a-R504_LRP001b,ROAD,45
R504,R504_LRP001b,R504_LRP002,R504_LRP001b-R504_LRP002,ROAD,45
R504,R504_LRP002,R504_LRP002a,R504_LRP002-R504_LRP002a,ROAD,45
R504,R504_LRP002a,R504_LRP003,R504_LRP002a-R504_LRP003,ROAD,45
R504,R504_LRP003,R504_LRP003a,R504_LRP003-R504_LRP003a,ROAD,45
R504,R504_LRP003a,R504_LRP003b,R504_LRP003a-R504_LRP003b,BRIDGE,45
R504,R504_LRP003b,R504_LRP004,R504_LRP003b-R504_LRP004,ROAD,45
R504,R504_LRP004,R504_LRP004b,R504_LRP004-R504_LRP004b,ROAD,45
R504,R504_LRP004b,R504_LRP004c,R504_LRP004b-R504_LRP004c,ROAD,45
R504,R504_LRP004c,R504_LRP005,R504_LRP004c-R504_LRP005,ROAD,45
R504,R504_LRP005,R504_LRP005a,R504_LRP005-R504_LRP005a,ROAD,45
R504,R504_LRP005a,R504_LRP006,R504_LRP005a-R504_LRP006,ROAD,45
R504,R504_LRP006,R504_LRP006a,R504_LRP006-R504_LRP006a,ROAD,45
R504,R504_LRP006a,R504_LRP006b,R504_LRP006a-R504_LRP006b,ROAD,45
R504,R504_LRP006b,R504_LRP007,R504_LRP006b-R504_LRP007,ROAD,45
R504,R504_LRP007,R504_LRP007a,R504_LRP007-R504_LRP007a,ROAD,45
R504,R504_LRP007a,R504_LRP007b,R504_LRP007a-R504_LRP007b,BRIDGE,45
R504,R504_LRP007b,R504_LRP007c,R504_LRP007b-R504_LRP007c,ROAD,45
R504,R504_LRP007c,R504_LRP007d,R504_LRP007c-R504_LRP007d,BRIDGE,45
R504,R504_LRP007d,R504_LRP008,R504_LRP007d-R504_LRP008,ROAD,45
R504,R504_LRP008,R504_LRP008a,R504_LRP008-R504_LRP008a,ROAD,45
R504,R504_LRP008a,R504_LRP008b,R504_LRP008a-R504_LRP008b,BRIDGE,45
R504,R504_LRP008b,R504_LRP008c,R504_LRP008b-R504_LRP008c,ROAD,45
R504,R504_LRP008c,R504_LRP008d,R504_LRP008c-R504_LRP008d,BRIDGE,45
R504,R504_LRP008d,R504_LRP009,R504_LRP008d-R504_LRP009,ROAD,45
R504,R504_LRP009,R504_LRP009a,R504_LRP009-R504_LRP009a,ROAD,45
R504,R504_LRP009a,R504_LRP009b,R504_LRP009a-R504_LRP009b,BRIDGE,45
R504,R504_LRP009b,R504_LRP010,R504_LRP009b-R504_LRP010,ROAD,45
R504,R504_LRP010,R504_LRP011,R504_LRP010-R504_LRP011,ROAD,45
R504,R504_LRP011,R504_LRP012,R504_LRP011-R504_LRP012,ROAD,45
R504,R504_LRP012,R504_LRP013,R504_LRP012-R504_LRP013,ROAD,45
R504,R504_LRP013,R504_LRP013a,R504_LRP013-R504_LRP013a,ROAD,45
R504,R504_LRP013a,R504_LRP014,R504_LRP013a-R504_LRP014,ROAD,45
R504,R504_LRP014,R504_LRP014a,R504_LRP014-R504_LRP014a,ROAD,45
R504,R504_LRP014a,R504_LRP015,R504_LRP014a-R504_LRP015,ROAD,45
R504,R504_LRP015,R504_LRP016,R504_LRP015-R504_LRP016,ROAD,45
R504,R504_LRP016,R504_LRP016a,R504_LRP016-R504_LRP016a,ROAD,45
R504,R504_LRP016a,R504_LRP016b,R504_LRP016a-R504_LRP016b,BRIDGE,45
R504,R504_LRP016b,R504_LRP016c,R504_LRP016b-R504_LRP016c,ROAD,45
R504,R504_LRP016c,R504_LRP018a,R504_LRP016c-R504_LRP018a,BRIDGE,45
R504,R504_LRP018a,R504_LRP018b,R504_LRP018a-R504_LRP018b,ROAD,45
R504,R504_LRP018b,R504_LRP018c,R504_LRP018b-R504_LRP018c,BRIDGE,45
R504,R504_LRP018c,R504_LRP018d,R504_LRP018c-R504_LRP018d,ROAD,45
R504,R504_LRP018d,R504_LRP019a,R504_LRP018d-R504_LRP019a,BRIDGE,45
R504,R504_LRP019a,R504_LRP019b,R504_LRP019a-R504_LRP019b,ROAD,45
R504,R504_LRP019b,R504_LRP020b,R504_LRP019b-R504_LRP020b,BRIDGE,45
R504,R504_LRP020b,R504_LRP020c,R504_LRP020b-R504_LRP020c,ROAD,45
