road,lrp1,lrp2,name,gap,newspeed
R504,R504_LRP020c,R504_LRP021b,R504_LRP020c-R504_LRP021b,BRIDGE,45
R504,R504_LRP021b,R504_LRP021c,R504_LRP021b-R504_LRP021c,ROAD,45
R504,R504_LRP021c,R504_LRP022,R504_LRP021c-R504_LRP022,ROAD,45
R504,R504_LRP022,R504_LRP023,R504_LRP022-R504_LRP023,ROAD,45
R504,R504_LRP023,R504_LRP023a,R504_LRP023-R504_LRP023a,ROAD,45
R504,R504_LRP023a,R504_LRP024,R504_LRP023a-R504_LRP024,ROAD,45
R504,R504_LRP024,R504_LRP024a,R504_LRP024-R504_LRP024a,ROAD,45
R504,R504_LRP024a,R504_LRP024b,R504_LRP024a-R504_LRP024b,ROAD,45
R504,R504_LRP024b,R504_LRP024c,R504_LRP024b-R504_LRP024c,BRIDGE,45
R504,R504_LRP024c,R504_LRP025,R504_LRP024c-R504_LRP025,ROAD,45
R504,R504_LRP025,R504_LRP026,R504_LRP025-R504_LRP026,ROAD,45
R504,R504_LRP026,R504_LRP027,R504_LRP026-R504_LRP027,ROAD,45
R504,R504_LRP027,R504_LRP027a,R504_LRP027-R504_LRP027a,ROAD,45
R504,R504_LRP027a,R504_LRP028,R504_LRP027a-R504_LRP028,ROAD,45
R504,R504_LRP028,R504_LRP029,R504_LRP028-R504_LRP029,ROAD,45
R504,R504_LRP029,R504_LRP029a,R504_LRP029-R504_LRP029a,ROAD,45
R504,R504_LRP029a,R504_LRP029b,R504_LRP029a-R504_LRP029b,BRIDGE,45
R504,R504_LRP029b,R504_LRP030,R504_LRP029b-R504_LRP030,ROAD,45
R504,R504_LRP030,R504_LRP031,R504_LRP030-R504_LRP031,ROAD,45
R504,R504_LRP031,R504_LRP031a,R504_LRP031-R504_LRP031a,ROAD,45
R504,R504_LRP031a,R504_LRP031b,R504_LRP031a-R504_LRP031b,BRIDGE,45
R504,R504_LRP031b,R504_LRP032,R504_LRP031b-R504_LRP032,ROAD,45
R504,R504_LRP032,R504_LRP032a,R504_LRP032-R504_LRP032a,ROAD,45
R504,R504_LRP032a,R504_LRP032b,R504_LRP032a-R504_LRP032b,BRIDGE,45
R504,R504_LRP032b,R504_LRP033,R504_LRP032b-R504_LRP033,ROAD,45
R504,R504_LRP033,R504_LRP033a,R504_LRP033-R504_LRP033a,ROAD,45
R504,R504_LRP033a,R504_LRP033b,R504_LRP033a-R504_LRP033b,BRIDGE,45
R504,R504_LRP033b,R504_LRP033c,R504_LRP033b-R504_LRP033c,ROAD,45
R504,R504_LRP033c,R504_LRP033d,R504_LRP033c-R504_LRP033d,BRIDGE,45
R504,R504_LRP033d,R504_LRPE,R504_LRP033d-R504_LRPE,ROAD,45
R504,R504_LRPE,N5_LRP051a,SPUR R504_LRPE-N5_LRP051a,ROAD,45
R504,R504_LRPS,Z8002_LRPE,SPUR R504_LRPS-Z8002_LRPE,ROAD,45
R504,R504_LRPS,N5_LRP007a,SPUR R504_LRPS-N5_LRP007a,ROAD,45
R504,R504_LRPS,N5_LRP007,SPUR R504_LRPS-N5_LRP007,ROAD,45
