road,lrp1,lrp2,name,gap,newspeed,newclass
R164,R164_LRPS,R164_LRPSa,R164_LRPS-R164_LRPSa,ROAD,45,N
R164,R164_LRPSa,R164_LRPSb,R164_LRPSa-R164_LRPSb,ROAD,45,N
R164,R164_LRPSb,R164_LRPSc,R164_LRPSb-R164_LRPSc,BRIDGE,45,N
R164,R164_LRPSc,R164_LRP001,R164_LRPSc-R164_LRP001,ROAD,45,N
R164,R164_LRP001,R164_LRP001a,R164_LRP001-R164_LRP001a,ROAD,45,N
R164,R164_LRP001a,R164_LRP001b,R164_LRP001a-R164_LRP001b,ROAD,45,N
R164,R164_LRP001b,R164_LRP002,R164_LRP001b-R164_LRP002,ROAD,45,N
R164,R164_LRP002,R164_LRP002a,R164_LRP002-R164_LRP002a,ROAD,45,N
R164,R164_LRP002a,R164_LRP002b,R164_LRP002a-R164_LRP002b,ROAD,45,N
R164,R164_LRP002b,R164_LRP002c,R164_LRP002b-R164_LRP002c,ROAD,45,N
R164,R164_LRP002c,R164_LRP002d,R164_LRP002c-R164_LRP002d,ROAD,45,N
R164,R164_LRP002d,R164_LRP002e,R164_LRP002d-R164_LRP002e,ROAD,45,N
R164,R164_LRP002e,R164_LRP003,R164_LRP002e-R164_LRP003,ROAD,45,N
R164,R164_LRP003,R164_LRP003a,R164_LRP003-R164_LRP003a,ROAD,45,N
R164,R164_LRP003a,R164_LRP004,R164_LRP003a-R164_LRP004,ROAD,45,N
R164,R164_LRP004,R164_LRP004a,R164_LRP004-R164_LRP004a,ROAD,45,N
R164,R164_LRP004a,R164_LRP004b,R164_LRP004a-R164_LRP004b,ROAD,45,N
R164,R164_LRP004b,R164_LRP004c,R164_LRP004b-R164_LRP004c,ROAD,45,N
R164,R164_LRP004c,R164_LRP004d,R164_LRP004c-R164_LRP004d,ROAD,45,N
R164,R164_LRP004d,R164_LRP005,R164_LRP004d-R164_LRP005,ROAD,45,N
R164,R164_LRP005,R164_LRP005a,R164_LRP005-R164_LRP005a,ROAD,45,N
R164,R164_LRP005a,R164_LRP005b,R164_LRP005a-R164_LRP005b,ROAD,45,N
R164,R164_LRP005b,R164_LRP005c,R164_LRP005b-R164_LRP005c,ROAD,45,N
R164,R164_LRP005c,R164_LRP005d,R164_LRP005c-R164_LRP005d,BRIDGE,45,N
R164,R164_LRP005d,R164_LRP006,R164_LRP005d-R164_LRP006,ROAD,45,N
R164,R164_LRP006,R164_LRP006a,R164_LRP006-R164_LRP006a,ROAD,45,N
R164,R164_LRP006a,R164_LRP006b,R164_LRP006a-R164_LRP006b,BRIDGE,45,N
R164,R164_LRP006b,R164_LRP007,R164_LRP006b-R164_LRP007,ROAD,45,N
R164,R164_LRP007,R164_LRP007a,R164_LRP007-R164_LRP007a,ROAD,45,N
R164,R164_LRP007a,R164_LRP008,R164_LRP007a-R164_LRP008,ROAD,45,N
R164,R164_LRP008,R164_LRP008a,R164_LRP008-R164_LRP008a,ROAD,45,N
R164,R164_LRP008a,R164_LRP008b,R164_LRP008a-R164_LRP008b,BRIDGE,45,N
R164,R164_LRP008b,R164_LRP009,R164_LRP008b-R164_LRP009,ROAD,45,N
R164,R164_LRP009,R164_LRP010,R164_LRP009-R164_LRP010,ROAD,45,N
R164,R164_LRP010,R164_LRPE,R164_LRP010-R164_LRPE,ROAD,45,N
R164,R164_LRPS,R161_LRP015a,SPUR R164_LRPS-R161_LRP015a,ROAD,45,N
R164,R164_LRPS,R161_LRP015b,SPUR R164_LRPS-R161_LRP015b,ROAD,45,N
R164,R164_LRPS,R161_LRP015c,SPUR R164_LRPS-R161_LRP015c,ROAD,45,N
R164,R164_LRPS,R161_LRP016,SPUR R164_LRPS-R161_LRP016,ROAD,45,N
R164,R164_LRPS,R161_LRP015,SPUR R164_LRPS-R161_LRP015,ROAD,45,N
R710,R710_LRPS,R710_LRPSa,R710_LRPS-R710_LRPSa,ROAD,45,N
R710,R710_LRPSa,R710_LRP001,R710_LRPSa-R710_LRP001,ROAD,45,N
R710,R710_LRP001,R710_LRP001a,R710_LRP001-R710_LRP001a,ROAD,45,N
R710,R710_LRP001a,R710_LRP002,R710_LRP001a-R710_LRP002,ROAD,45,N
R710,R710_LRP002,R710_LRP002a,R710_LRP002-R710_LRP002a,ROAD,45,N
R710,R710_LRP002a,R710_LRP003,R710_LRP002a-R710_LRP003,ROAD,45,N
R710,R710_LRP003,R710_LRP004,R710_LRP003-R710_LRP004,ROAD,45,N
R710,R710_LRP004,R710_LRP004a,R710_LRP004-R710_LRP004a,ROAD,45,N
R710,R710_LRP004a,R710_LRP004b,R710_LRP004a-R710_LRP004b,ROAD,45,N
R710,R710_LRP004b,R710_LRP005,R710_LRP004b-R710_LRP005,ROAD,45,N
R710,R710_LRP005,R710_LRP006,R710_LRP005-R710_LRP006,ROAD,45,N
R710,R710_LRP006,R710_LRP006a,R710_LRP006-R710_LRP006a,ROAD,45,N
R710,R710_LRP006a,R710_LRP008,R710_LRP006a-R710_LRP008,ROAD,45,N
R710,R710_LRP008,R710_LRP009,R710_LRP008-R710_LRP009,ROAD,45,N
R710,R710_LRP009,R710_LRP010,R710_LRP009-R710_LRP010,ROAD,45,N
R710,R710_LRP010,R710_LRP010a,R710_LRP010-R710_LRP010a,ROAD,45,N
R710,R710_LRP010a,R710_LRP011,R710_LRP010a-R710_LRP011,ROAD,45,N
R710,R710_LRP011,R710_LRP011a,R710_LRP011-R710_LRP011a,ROAD,45,N
R710,R710_LRP011a,R710_LRP011b,R710_LRP011a-R710_LRP011b,ROAD,45,N
R710,R710_LRP011b,R710_LRP012,R710_LRP011b-R710_LRP012,ROAD,45,N
R710,R710_LRP012,R710_LRP012a,R710_LRP012-R710_LRP012a,ROAD,45,N
