road,lrp1,lrp2,name,gap,newspeed
N105,N105_LRPS,N105_LRP001,N105_LRPS-N105_LRP001,ROAD,70
N105,N105_LRP001,N105_LRP001a,N105_LRP001-N105_LRP001a,ROAD,70
N105,N105_LRP001a,N105_LRP002,N105_LRP001a-N105_LRP002,ROAD,70
N105,N105_LRP002,N105_LRP002a,N105_LRP002-N105_LRP002a,ROAD,70
N105,N105_LRP002a,N105_LRP003,N105_LRP002a-N105_LRP003,ROAD,70
N105,N105_LRP003,N105_LRP003a,N105_LRP003-N105_LRP003a,ROAD,70
N105,N105_LRP003a,N105_LRP004,N105_LRP003a-N105_LRP004,ROAD,70
N105,N105_LRP004,N105_LRP004a,N105_LRP004-N105_LRP004a,ROAD,70
N105,N105_LRP004a,N105_LRP005,N105_LRP004a-N105_LRP005,ROAD,70
N105,N105_LRP005,N105_LRP005a,N105_LRP005-N105_LRP005a,ROAD,70
N105,N105_LRP005a,N105_LRP006,N105_LRP005a-N105_LRP006,ROAD,70
N105,N105_LRP006,N105_LRP006a,N105_LRP006-N105_LRP006a,ROAD,70
N105,N105_LRP006a,N105_LRP006b,N105_LRP006a-N105_LRP006b,ROAD,70
N105,N105_LRP006b,N105_LRP006c,N105_LRP006b-N105_LRP006c,ROAD,70
N105,N105_LRP006c,N105_LRP007,N105_LRP006c-N105_LRP007,ROAD,70
N105,N105_LRP007,N105_LRP007a,N105_LRP007-N105_LRP007a,ROAD,70
N105,N105_LRP007a,N105_LRP007b,N105_LRP007a-N105_LRP007b,ROAD,70
N105,N105_LRP007b,N105_LRP007c,N105_LRP007b-N105_LRP007c,BRIDGE,70
N105,N105_LRP007c,N105_LRP008,N105_LRP007c-N105_LRP008,ROAD,70
N105,N105_LRP008,N105_LRP009,N105_LRP008-N105_LRP009,ROAD,70
N105,N105_LRP009,N105_LRP009a,N105_LRP009-N105_LRP009a,ROAD,70
N105,N105_LRP009a,N105_LRP009b,N105_LRP009a-N105_LRP009b,ROAD,70
N105,N105_LRP009b,N105_LRP009c,N105_LRP009b-N105_LRP009c,BRIDGE,70
N105,N105_LRP009c,N105_LRP010,N105_LRP009c-N105_LRP010,ROAD,70
N105,N105_LRP010,N105_LRP010a,N105_LRP010-N105_LRP010a,ROAD,70
N105,N105_LRP010a,N105_LRP010b,N105_LRP010a-N105_LRP010b,ROAD,70
N105,N105_LRP010b,N105_LRP010c,N105_LRP010b-N105_LRP010c,BRIDGE,70
N105,N105_LRP010c,N105_LRP011,N105_LRP010c-N105_LRP011,ROAD,70
N105,N105_LRP011,N105_LRP012,N105_LRP011-N105_LRP012,ROAD,70
N105,N105_LRP012,N105_LRP012a,N105_LRP012-N105_LRP012a,ROAD,70
N105,N105_LRP012a,N105_LRP013,N105_LRP012a-N105_LRP013,ROAD,70
N105,N105_LRP013,N105_LRP014,N105_LRP013-N105_LRP014,ROAD,70
N105,N105_LRP014,N105_LRP015,N105_LRP014-N105_LRP015,ROAD,70
N105,N105_LRP015,N105_LRP016,N105_LRP015-N105_LRP016,ROAD,70
N105,N105_LRP016,N105_LRP017,N105_LRP016-N105_LRP017,ROAD,70
N105,N105_LRP017,N105_LRP017a,N105_LRP017-N105_LRP017a,ROAD,70
N105,N105_LRP017a,N105_LRP017b,N105_LRP017a-N105_LRP017b,ROAD,70
N105,N105_LRP017b,N105_LRP018,N105_LRP017b-N105_LRP018,ROAD,70
N105,N105_LRP018,N105_LRP018a,N105_LRP018-N105_LRP018a,ROAD,70
N105,N105_LRP018a,N105_LRP019,N105_LRP018a-N105_LRP019,ROAD,70
N105,N105_LRP019,N105_LRP019a,N105_LRP019-N105_LRP019a,ROAD,70
N105,N105_LRP019a,N105_LRP019b,N105_LRP019a-N105_LRP019b,ROAD,70
N105,N105_LRP019b,N105_LRP020,N105_LRP019b-N105_LRP020,ROAD,70
N105,N105_LRP020,N105_LRP020b,N105_LRP020-N105_LRP020b,BRIDGE,70
N105,N105_LRP020b,N105_LRP020d,N105_LRP020b-N105_LRP020d,ROAD,70
N105,N105_LRP020d,N105_LRP021,N105_LRP020d-N105_LRP021,ROAD,70
N105,N105_LRP021,N105_LRP021b,N105_LRP021-N105_LRP021b,ROAD,70
N105,N105_LRP021b,N105_LRP023,N105_LRP021b-N105_LRP023,ROAD,70
N105,N105_LRP023,N105_LRP023a,N105_LRP023-N105_LRP023a,ROAD,70
N105,N105_LRP023a,N105_LRP024,N105_LRP023a-N105_LRP024,ROAD,70
N105,N105_LRP024,N105_LRP025,N105_LRP024-N105_LRP025,ROAD,70
N105,N105_LRP025,N105_LRP025a,N105_LRP025-N105_LRP025a,ROAD,70
N105,N105_LRP025a,N105_LRP025b,N105_LRP025a-N105_LRP025b,ROAD,70
N105,N105_LRP025b,N105_LRP026,N105_LRP025b-N105_LRP026,ROAD,70
N105,N105_LRP026,N105_LRP026a,N105_LRP026-N105_LRP026a,ROAD,70
N105,N105_LRP026a,N105_LRP026b,N105_LRP026a-N105_LRP026b,ROAD,70
N105,N105_LRP026b,N105_LRP026c,N105_LRP026b-N105_LRP026c,ROAD,70
