portname,productname,importfactor,importdelta,exportfactor,exportdelta
Chittagong,Textile,1.25,,1.25,
Chittagong,Garment,1.25,,1.25,
Chittagong,Food,1.25,,1.25,
Chittagong,Brick,1.25,,1.25,
Chittagong,Steel,1.25,,1.25,
